STRAIN	TOTAL	CORE	ACCESSORY	SINGLETON	CHROM	START	END
Aspergillus_fumigatus_COH_400	40	35	5	0	scaffold_6	1593224	1693224
Aspergillus_fumigatus_COH_400	34	32	2	0	scaffold_3	1592346	1692346
Aspergillus_fumigatus_COH_400	34	29	5	0	scaffold_4	2341844	2441844
Aspergillus_fumigatus_COH_400	38	32	6	0	scaffold_4	3588096	3688096
Aspergillus_fumigatus_COH_400	38	33	5	0	scaffold_4	2843028	2943028
Aspergillus_fumigatus_COH_400	36	33	3	0	scaffold_1	2725015	2825015
Aspergillus_fumigatus_COH_400	34	9	25	0	scaffold_2	46548	146548
Aspergillus_fumigatus_COH_400	45	43	2	0	scaffold_4	190492	290492
Aspergillus_fumigatus_COH_400	44	39	5	0	scaffold_2	3528609	3628609
Aspergillus_fumigatus_COH_400	39	35	4	0	scaffold_4	126100	226100
Aspergillus_fumigatus_COH_400	50	38	12	0	scaffold_1	83033	183033
Aspergillus_fumigatus_COH_400	36	32	4	0	scaffold_2	622550	722550
Aspergillus_fumigatus_COH_400	35	34	1	0	scaffold_4	2736222	2836222
Aspergillus_fumigatus_COH_400	36	35	1	0	scaffold_3	2782092	2882092
Aspergillus_fumigatus_COH_400	35	30	5	0	scaffold_6	1930135	2030135
Aspergillus_fumigatus_COH_400	37	36	1	0	scaffold_3	3161438	3261438
Aspergillus_fumigatus_COH_400	37	25	12	0	scaffold_4	711218	811218
Aspergillus_fumigatus_COH_400	43	39	4	0	scaffold_7	144492	244492
Aspergillus_fumigatus_COH_400	38	36	2	0	scaffold_8	988401	1088401
Aspergillus_fumigatus_COH_400	39	32	7	0	scaffold_8	430683	530683
Aspergillus_fumigatus_COH_400	37	35	2	0	scaffold_4	1764554	1864554
Aspergillus_fumigatus_COH_400	35	30	5	0	scaffold_1	4203655	4303655
Aspergillus_fumigatus_COH_400	39	36	3	0	scaffold_8	1132342	1232342
Aspergillus_fumigatus_COH_400	38	35	3	0	scaffold_5	2484219	2584219
Aspergillus_fumigatus_COH_400	43	34	9	0	scaffold_1	154116	254116
Aspergillus_fumigatus_COH_400	38	34	4	0	scaffold_2	4443339	4543339
Aspergillus_fumigatus_COH_400	35	33	2	0	scaffold_6	1710173	1810173
Aspergillus_fumigatus_COH_400	38	32	6	0	scaffold_5	3301093	3401093
Aspergillus_fumigatus_COH_400	52	41	11	0	scaffold_7	1500197	1600197
Aspergillus_fumigatus_COH_400	29	12	17	0	scaffold_2	256089	356089
Aspergillus_fumigatus_COH_400	34	25	9	0	scaffold_4	3257409	3357409
Aspergillus_fumigatus_COH_400	40	34	6	0	scaffold_5	334571	434571
Aspergillus_fumigatus_COH_400	39	38	1	0	scaffold_6	2119767	2219767
Aspergillus_fumigatus_COH_400	36	33	3	0	scaffold_5	3077355	3177355
Aspergillus_fumigatus_COH_400	36	12	24	0	scaffold_4	667743	767743
Aspergillus_fumigatus_COH_400	42	37	5	0	scaffold_3	2681786	2781786
Aspergillus_fumigatus_COH_400	40	36	4	0	scaffold_4	818754	918754
Aspergillus_fumigatus_COH_400	25	25	0	0	scaffold_5	2737975	2837975
Aspergillus_fumigatus_COH_400	38	36	1	1	scaffold_4	3041569	3141569
Aspergillus_fumigatus_COH_400	42	33	9	0	scaffold_1	176490	276490
Aspergillus_fumigatus_COH_400	42	37	5	0	scaffold_6	2609910	2709910
Aspergillus_fumigatus_COH_400	43	40	3	0	scaffold_4	3692403	3792403
Aspergillus_fumigatus_COH_400	36	34	2	0	scaffold_6	2059150	2159150
Aspergillus_fumigatus_COH_400	37	32	5	0	scaffold_6	1211891	1311891
Aspergillus_fumigatus_COH_400	40	33	7	0	scaffold_8	14406	114406
Aspergillus_fumigatus_COH_400	45	36	9	0	scaffold_1	127124	227124
Aspergillus_fumigatus_COH_400	12	10	2	0	scaffold_6	149493	249493
