STRAIN	TOTAL	CORE	ACCESSORY	SINGLETON	CHROM	START	END
Aspergillus_fumigatus_CM237	14	12	2	0	scaffold_2	1554015	1604015
Aspergillus_fumigatus_CM237	20	16	4	0	scaffold_4	3652278	3702278
Aspergillus_fumigatus_CM237	17	14	3	0	scaffold_6	584443	634443
Aspergillus_fumigatus_CM237	20	16	4	0	scaffold_5	2333244	2383244
Aspergillus_fumigatus_CM237	6	0	6	0	scaffold_2	96677	146677
Aspergillus_fumigatus_CM237	25	24	1	0	scaffold_2	527672	577672
Aspergillus_fumigatus_CM237	14	1	13	0	scaffold_7	2046982	2096982
Aspergillus_fumigatus_CM237	18	16	2	0	scaffold_2	4107829	4157829
Aspergillus_fumigatus_CM237	18	18	0	0	scaffold_1	663026	713026
Aspergillus_fumigatus_CM237	21	18	3	0	scaffold_5	2395133	2445133
Aspergillus_fumigatus_CM237	18	15	3	0	scaffold_1	2897907	2947907
Aspergillus_fumigatus_CM237	19	17	2	0	scaffold_5	2030772	2080772
Aspergillus_fumigatus_CM237	21	19	2	0	scaffold_5	3461850	3511850
Aspergillus_fumigatus_CM237	20	18	2	0	scaffold_6	3268274	3318274
Aspergillus_fumigatus_CM237	19	19	0	0	scaffold_6	1013366	1063366
Aspergillus_fumigatus_CM237	18	18	0	0	scaffold_3	2309482	2359482
Aspergillus_fumigatus_CM237	19	16	3	0	scaffold_6	2004886	2054886
Aspergillus_fumigatus_CM237	17	17	0	0	scaffold_1	818652	868652
Aspergillus_fumigatus_CM237	18	16	2	0	scaffold_6	1344272	1394272
Aspergillus_fumigatus_CM237	22	19	3	0	scaffold_3	1688774	1738774
Aspergillus_fumigatus_CM237	13	12	1	0	scaffold_1	1585790	1635790
Aspergillus_fumigatus_CM237	18	17	1	0	scaffold_4	1379804	1429804
Aspergillus_fumigatus_CM237	20	19	1	0	scaffold_1	3669180	3719180
Aspergillus_fumigatus_CM237	19	19	0	0	scaffold_3	652501	702501
Aspergillus_fumigatus_CM237	23	22	1	0	scaffold_8	152796	202796
Aspergillus_fumigatus_CM237	18	18	0	0	scaffold_3	3274423	3324423
Aspergillus_fumigatus_CM237	19	17	2	0	scaffold_6	1872370	1922370
Aspergillus_fumigatus_CM237	22	20	2	0	scaffold_7	963913	1013913
Aspergillus_fumigatus_CM237	27	14	12	1	scaffold_5	69222	119222
Aspergillus_fumigatus_CM237	18	18	0	0	scaffold_1	708115	758115
Aspergillus_fumigatus_CM237	17	17	0	0	scaffold_6	1022026	1072026
Aspergillus_fumigatus_CM237	16	15	1	0	scaffold_3	3580940	3630940
Aspergillus_fumigatus_CM237	17	15	2	0	scaffold_7	18735	68735
Aspergillus_fumigatus_CM237	22	20	2	0	scaffold_5	1081136	1131136
Aspergillus_fumigatus_CM237	13	12	1	0	scaffold_3	370082	420082
Aspergillus_fumigatus_CM237	14	13	1	0	scaffold_6	2337094	2387094
Aspergillus_fumigatus_CM237	19	17	2	0	scaffold_5	1231479	1281479
Aspergillus_fumigatus_CM237	20	19	1	0	scaffold_6	835678	885678
Aspergillus_fumigatus_CM237	20	18	2	0	scaffold_6	1879711	1929711
Aspergillus_fumigatus_CM237	16	14	2	0	scaffold_4	1614673	1664673
Aspergillus_fumigatus_CM237	14	12	2	0	scaffold_5	1535843	1585843
Aspergillus_fumigatus_CM237	21	19	2	0	scaffold_3	207636	257636
Aspergillus_fumigatus_CM237	22	20	2	0	scaffold_1	208819	258819
Aspergillus_fumigatus_CM237	20	17	3	0	scaffold_5	2666212	2716212
Aspergillus_fumigatus_CM237	13	13	0	0	scaffold_1	842521	892521
Aspergillus_fumigatus_CM237	16	14	2	0	scaffold_6	3098225	3148225
Aspergillus_fumigatus_CM237	18	17	1	0	scaffold_5	381251	431251
Aspergillus_fumigatus_CM237	19	18	1	0	scaffold_2	2214873	2264873
Aspergillus_fumigatus_CM237	22	19	3	0	scaffold_4	1034031	1084031
Aspergillus_fumigatus_CM237	26	22	4	0	scaffold_4	2218151	2268151
Aspergillus_fumigatus_CM237	21	19	2	0	scaffold_8	22836	72836
Aspergillus_fumigatus_CM237	22	3	19	0	scaffold_1	61174	111174
Aspergillus_fumigatus_CM237	18	18	0	0	scaffold_2	1632731	1682731
Aspergillus_fumigatus_CM237	21	19	2	0	scaffold_5	921449	971449
Aspergillus_fumigatus_CM237	18	17	1	0	scaffold_4	2645960	2695960
Aspergillus_fumigatus_CM237	13	12	1	0	scaffold_3	1627273	1677273
