STRAIN	TOTAL	CORE	ACCESSORY	SINGLETON	CHROM	START	END
Aspergillus_fumigatus_ATCC_204305	38	36	2	0	scaffold_4	2655916	2755916
Aspergillus_fumigatus_ATCC_204305	44	38	6	0	scaffold_7	1419362	1519362
Aspergillus_fumigatus_ATCC_204305	29	28	1	0	scaffold_2	2353161	2453161
Aspergillus_fumigatus_ATCC_204305	33	31	2	0	scaffold_7	865994	965994
Aspergillus_fumigatus_ATCC_204305	36	31	5	0	scaffold_5	1556530	1656530
Aspergillus_fumigatus_ATCC_204305	38	33	5	0	scaffold_5	2867246	2967246
Aspergillus_fumigatus_ATCC_204305	41	40	1	0	scaffold_6	1298704	1398704
Aspergillus_fumigatus_ATCC_204305	34	31	3	0	scaffold_2	3654906	3754906
Aspergillus_fumigatus_ATCC_204305	33	31	2	0	scaffold_3	1659440	1759440
Aspergillus_fumigatus_ATCC_204305	41	41	0	0	scaffold_6	2876840	2976840
Aspergillus_fumigatus_ATCC_204305	30	30	0	0	scaffold_4	2125953	2225953
Aspergillus_fumigatus_ATCC_204305	46	44	2	0	scaffold_3	1531321	1631321
Aspergillus_fumigatus_ATCC_204305	34	32	2	0	scaffold_1	773479	873479
Aspergillus_fumigatus_ATCC_204305	40	0	40	0	scaffold_1	4405939	4505939
Aspergillus_fumigatus_ATCC_204305	37	32	5	0	scaffold_1	3903662	4003662
Aspergillus_fumigatus_ATCC_204305	35	35	0	0	scaffold_2	214931	314931
Aspergillus_fumigatus_ATCC_204305	35	33	2	0	scaffold_3	1122608	1222608
Aspergillus_fumigatus_ATCC_204305	42	38	4	0	scaffold_5	2603674	2703674
Aspergillus_fumigatus_ATCC_204305	29	27	2	0	scaffold_1	2047165	2147165
Aspergillus_fumigatus_ATCC_204305	39	34	5	0	scaffold_2	422494	522494
Aspergillus_fumigatus_ATCC_204305	34	32	2	0	scaffold_5	929662	1029662
Aspergillus_fumigatus_ATCC_204305	41	37	4	0	scaffold_8	1463519	1563519
Aspergillus_fumigatus_ATCC_204305	40	36	4	0	scaffold_2	3518503	3618503
Aspergillus_fumigatus_ATCC_204305	33	32	1	0	scaffold_3	2708798	2808798
Aspergillus_fumigatus_ATCC_204305	39	37	2	0	scaffold_5	814096	914096
Aspergillus_fumigatus_ATCC_204305	33	32	1	0	scaffold_7	1218011	1318011
Aspergillus_fumigatus_ATCC_204305	37	35	2	0	scaffold_7	630451	730451
Aspergillus_fumigatus_ATCC_204305	35	30	5	0	scaffold_5	3047165	3147165
Aspergillus_fumigatus_ATCC_204305	32	29	3	0	scaffold_1	3981433	4081433
Aspergillus_fumigatus_ATCC_204305	42	39	3	0	scaffold_6	1846099	1946099
Aspergillus_fumigatus_ATCC_204305	41	40	1	0	scaffold_2	279614	379614
Aspergillus_fumigatus_ATCC_204305	41	36	5	0	scaffold_8	311850	411850
Aspergillus_fumigatus_ATCC_204305	43	41	2	0	scaffold_2	1987549	2087549
Aspergillus_fumigatus_ATCC_204305	26	25	1	0	scaffold_2	1600306	1700306
Aspergillus_fumigatus_ATCC_204305	29	28	1	0	scaffold_1	2751387	2851387
Aspergillus_fumigatus_ATCC_204305	42	37	5	0	scaffold_8	1450233	1550233
Aspergillus_fumigatus_ATCC_204305	44	44	0	0	scaffold_6	1757599	1857599
Aspergillus_fumigatus_ATCC_204305	34	32	2	0	scaffold_6	3096411	3196411
Aspergillus_fumigatus_ATCC_204305	38	36	2	0	scaffold_6	1182373	1282373
Aspergillus_fumigatus_ATCC_204305	6	6	0	0	scaffold_6	1055519	1155519
Aspergillus_fumigatus_ATCC_204305	16	14	2	0	scaffold_7	708658	808658
Aspergillus_fumigatus_ATCC_204305	37	33	4	0	scaffold_5	3103863	3203863
Aspergillus_fumigatus_ATCC_204305	38	35	3	0	scaffold_3	1604153	1704153
Aspergillus_fumigatus_ATCC_204305	41	38	3	0	scaffold_3	314247	414247
Aspergillus_fumigatus_ATCC_204305	32	29	3	0	scaffold_5	1861505	1961505
Aspergillus_fumigatus_ATCC_204305	32	31	1	0	scaffold_3	2548812	2648812
Aspergillus_fumigatus_ATCC_204305	14	13	1	0	scaffold_5	1262399	1362399
Aspergillus_fumigatus_ATCC_204305	37	34	3	0	scaffold_3	3165966	3265966
Aspergillus_fumigatus_ATCC_204305	35	31	4	0	scaffold_1	2941358	3041358
Aspergillus_fumigatus_ATCC_204305	40	37	3	0	scaffold_3	2137307	2237307
Aspergillus_fumigatus_ATCC_204305	39	37	2	0	scaffold_6	2193163	2293163
Aspergillus_fumigatus_ATCC_204305	43	39	4	0	scaffold_5	1596216	1696216
Aspergillus_fumigatus_ATCC_204305	32	30	2	0	scaffold_3	1256547	1356547
Aspergillus_fumigatus_ATCC_204305	43	38	5	0	scaffold_3	2189244	2289244
Aspergillus_fumigatus_ATCC_204305	36	32	4	0	scaffold_2	3567298	3667298
Aspergillus_fumigatus_ATCC_204305	37	32	5	0	scaffold_5	1925490	2025490
Aspergillus_fumigatus_ATCC_204305	29	26	3	0	scaffold_4	1911274	2011274
Aspergillus_fumigatus_ATCC_204305	36	35	1	0	scaffold_4	3187896	3287896
Aspergillus_fumigatus_ATCC_204305	32	27	5	0	scaffold_3	2426123	2526123
Aspergillus_fumigatus_ATCC_204305	28	26	2	0	scaffold_3	2875240	2975240
Aspergillus_fumigatus_ATCC_204305	30	29	1	0	scaffold_3	2914130	3014130
Aspergillus_fumigatus_ATCC_204305	42	35	7	0	scaffold_6	485196	585196
Aspergillus_fumigatus_ATCC_204305	35	32	3	0	scaffold_4	2388766	2488766
Aspergillus_fumigatus_ATCC_204305	36	34	2	0	scaffold_1	1299133	1399133
Aspergillus_fumigatus_ATCC_204305	28	26	2	0	scaffold_3	3293189	3393189
Aspergillus_fumigatus_ATCC_204305	46	43	3	0	scaffold_6	691189	791189
Aspergillus_fumigatus_ATCC_204305	27	20	7	0	scaffold_5	2352165	2452165
Aspergillus_fumigatus_ATCC_204305	32	31	1	0	scaffold_4	1304411	1404411
Aspergillus_fumigatus_ATCC_204305	37	31	6	0	scaffold_1	3890728	3990728
Aspergillus_fumigatus_ATCC_204305	29	24	5	0	scaffold_6	2351260	2451260
Aspergillus_fumigatus_ATCC_204305	35	31	4	0	scaffold_2	370517	470517
Aspergillus_fumigatus_ATCC_204305	35	34	1	0	scaffold_3	2796367	2896367
Aspergillus_fumigatus_ATCC_204305	45	37	8	0	scaffold_8	1576199	1676199
Aspergillus_fumigatus_ATCC_204305	36	31	5	0	scaffold_5	2882078	2982078
Aspergillus_fumigatus_ATCC_204305	29	26	3	0	scaffold_1	1054760	1154760
Aspergillus_fumigatus_ATCC_204305	40	35	5	0	scaffold_7	247105	347105
Aspergillus_fumigatus_ATCC_204305	44	39	5	0	scaffold_3	1063838	1163838
Aspergillus_fumigatus_ATCC_204305	34	30	4	0	scaffold_5	3049084	3149084
Aspergillus_fumigatus_ATCC_204305	37	35	2	0	scaffold_2	2415773	2515773
Aspergillus_fumigatus_ATCC_204305	34	30	4	0	scaffold_5	373367	473367
Aspergillus_fumigatus_ATCC_204305	40	38	2	0	scaffold_2	135543	235543
Aspergillus_fumigatus_ATCC_204305	47	42	5	0	scaffold_6	3276947	3376947
Aspergillus_fumigatus_ATCC_204305	36	32	4	0	scaffold_5	1974915	2074915
Aspergillus_fumigatus_ATCC_204305	36	25	11	0	scaffold_4	3285523	3385523
Aspergillus_fumigatus_ATCC_204305	21	20	1	0	scaffold_4	1111604	1211604
Aspergillus_fumigatus_ATCC_204305	42	37	5	0	scaffold_3	1046520	1146520
Aspergillus_fumigatus_ATCC_204305	40	39	1	0	scaffold_2	285613	385613
Aspergillus_fumigatus_ATCC_204305	40	35	5	0	scaffold_6	201511	301511
Aspergillus_fumigatus_ATCC_204305	52	46	6	0	scaffold_2	62564	162564
Aspergillus_fumigatus_ATCC_204305	36	34	2	0	scaffold_7	902005	1002005
Aspergillus_fumigatus_ATCC_204305	29	29	0	0	scaffold_2	2329066	2429066
Aspergillus_fumigatus_ATCC_204305	31	30	1	0	scaffold_2	1777429	1877429
Aspergillus_fumigatus_ATCC_204305	33	29	4	0	scaffold_7	1495857	1595857
Aspergillus_fumigatus_ATCC_204305	24	23	1	0	scaffold_4	1102401	1202401
Aspergillus_fumigatus_ATCC_204305	40	34	6	0	scaffold_2	531245	631245
Aspergillus_fumigatus_ATCC_204305	38	35	3	0	scaffold_6	2497487	2597487
Aspergillus_fumigatus_ATCC_204305	33	29	4	0	scaffold_1	2937449	3037449
Aspergillus_fumigatus_ATCC_204305	33	30	3	0	scaffold_7	834263	934263
Aspergillus_fumigatus_ATCC_204305	34	30	4	0	scaffold_2	1239944	1339944
Aspergillus_fumigatus_ATCC_204305	46	37	9	0	scaffold_4	3628880	3728880
Aspergillus_fumigatus_ATCC_204305	34	30	4	0	scaffold_6	2391410	2491410
Aspergillus_fumigatus_ATCC_204305	40	37	3	0	scaffold_3	3016675	3116675
Aspergillus_fumigatus_ATCC_204305	37	37	0	0	scaffold_5	3249950	3349950
Aspergillus_fumigatus_ATCC_204305	33	31	2	0	scaffold_7	869001	969001
Aspergillus_fumigatus_ATCC_204305	38	37	1	0	scaffold_6	2994974	3094974
Aspergillus_fumigatus_ATCC_204305	40	39	1	0	scaffold_2	2710670	2810670
Aspergillus_fumigatus_ATCC_204305	35	31	4	0	scaffold_7	303023	403023
Aspergillus_fumigatus_ATCC_204305	41	38	3	0	scaffold_1	1148964	1248964
Aspergillus_fumigatus_ATCC_204305	38	35	3	0	scaffold_2	893149	993149
Aspergillus_fumigatus_ATCC_204305	38	37	1	0	scaffold_5	3205600	3305600
Aspergillus_fumigatus_ATCC_204305	36	33	3	0	scaffold_5	3452651	3552651
Aspergillus_fumigatus_ATCC_204305	40	39	1	0	scaffold_4	315132	415132
Aspergillus_fumigatus_ATCC_204305	39	37	2	0	scaffold_6	2268033	2368033
Aspergillus_fumigatus_ATCC_204305	39	36	3	0	scaffold_7	572236	672236
Aspergillus_fumigatus_ATCC_204305	35	33	2	0	scaffold_6	3221273	3321273
Aspergillus_fumigatus_ATCC_204305	40	37	3	0	scaffold_5	1369433	1469433
Aspergillus_fumigatus_ATCC_204305	23	20	3	0	scaffold_5	213555	313555
Aspergillus_fumigatus_ATCC_204305	39	14	25	0	scaffold_1	4479756	4579756
Aspergillus_fumigatus_ATCC_204305	34	33	1	0	scaffold_6	3121421	3221421
Aspergillus_fumigatus_ATCC_204305	14	13	1	0	scaffold_4	1166921	1266921
Aspergillus_fumigatus_ATCC_204305	39	35	4	0	scaffold_2	2126858	2226858
Aspergillus_fumigatus_ATCC_204305	52	42	10	0	scaffold_4	209110	309110
Aspergillus_fumigatus_ATCC_204305	35	32	3	0	scaffold_3	2012871	2112871
Aspergillus_fumigatus_ATCC_204305	35	33	2	0	scaffold_7	922077	1022077
Aspergillus_fumigatus_ATCC_204305	37	32	5	0	scaffold_1	1354489	1454489
Aspergillus_fumigatus_ATCC_204305	36	34	2	0	scaffold_3	1440213	1540213
Aspergillus_fumigatus_ATCC_204305	35	33	2	0	scaffold_3	1620421	1720421
Aspergillus_fumigatus_ATCC_204305	31	30	1	0	scaffold_4	756764	856764
Aspergillus_fumigatus_ATCC_204305	41	39	2	0	scaffold_7	1576244	1676244
Aspergillus_fumigatus_ATCC_204305	40	35	5	0	scaffold_3	975361	1075361
Aspergillus_fumigatus_ATCC_204305	44	39	5	0	scaffold_3	2173276	2273276
Aspergillus_fumigatus_ATCC_204305	36	34	2	0	scaffold_3	2690929	2790929
Aspergillus_fumigatus_ATCC_204305	41	38	3	0	scaffold_3	304905	404905
Aspergillus_fumigatus_ATCC_204305	38	37	1	0	scaffold_7	1197234	1297234
Aspergillus_fumigatus_ATCC_204305	43	38	5	0	scaffold_8	307550	407550
Aspergillus_fumigatus_ATCC_204305	16	13	3	0	scaffold_7	724300	824300
Aspergillus_fumigatus_ATCC_204305	46	41	5	0	scaffold_5	55940	155940
