STRAIN	TOTAL	CORE	ACCESSORY	SINGLETON	CHROM	START	END
Aspergillus_fumigatus_MO91298SB	43	42	1	0	scaffold_4	985620	1085620
Aspergillus_fumigatus_MO91298SB	41	37	4	0	scaffold_2	362574	462574
Aspergillus_fumigatus_MO91298SB	39	37	2	0	scaffold_8	1536235	1636235
Aspergillus_fumigatus_MO91298SB	41	37	4	0	scaffold_1	2143194	2243194
Aspergillus_fumigatus_MO91298SB	39	37	2	0	scaffold_8	1537905	1637905
Aspergillus_fumigatus_MO91298SB	47	36	11	0	scaffold_2	3953884	4053884
Aspergillus_fumigatus_MO91298SB	42	35	7	0	scaffold_6	1595670	1695670
Aspergillus_fumigatus_MO91298SB	34	32	2	0	scaffold_6	749265	849265
Aspergillus_fumigatus_MO91298SB	41	35	6	0	scaffold_1	1776761	1876761
Aspergillus_fumigatus_MO91298SB	46	42	4	0	scaffold_2	2691295	2791295
Aspergillus_fumigatus_MO91298SB	36	33	3	0	scaffold_2	3703431	3803431
Aspergillus_fumigatus_MO91298SB	37	33	4	0	scaffold_5	1480529	1580529
Aspergillus_fumigatus_MO91298SB	35	34	1	0	scaffold_5	1667159	1767159
Aspergillus_fumigatus_MO91298SB	32	31	1	0	scaffold_2	3297248	3397248
Aspergillus_fumigatus_MO91298SB	34	32	2	0	scaffold_3	2457942	2557942
Aspergillus_fumigatus_MO91298SB	40	37	3	0	scaffold_1	2127719	2227719
Aspergillus_fumigatus_MO91298SB	42	38	4	0	scaffold_7	1172150	1272150
Aspergillus_fumigatus_MO91298SB	31	11	20	0	scaffold_1	224875	324875
Aspergillus_fumigatus_MO91298SB	35	31	4	0	scaffold_1	2945433	3045433
Aspergillus_fumigatus_MO91298SB	39	39	0	0	scaffold_1	329846	429846
Aspergillus_fumigatus_MO91298SB	31	29	2	0	scaffold_1	3952986	4052986
Aspergillus_fumigatus_MO91298SB	15	14	1	0	scaffold_7	741351	841351
Aspergillus_fumigatus_MO91298SB	38	35	3	0	scaffold_3	516659	616659
Aspergillus_fumigatus_MO91298SB	38	35	3	0	scaffold_8	994773	1094773
Aspergillus_fumigatus_MO91298SB	37	31	6	0	scaffold_7	48209	148209
Aspergillus_fumigatus_MO91298SB	35	25	10	0	scaffold_1	2597938	2697938
Aspergillus_fumigatus_MO91298SB	42	34	8	0	scaffold_3	3096013	3196013
Aspergillus_fumigatus_MO91298SB	46	43	3	0	scaffold_5	2537658	2637658
Aspergillus_fumigatus_MO91298SB	43	34	9	0	scaffold_8	1399006	1499006
Aspergillus_fumigatus_MO91298SB	29	25	4	0	scaffold_2	4056750	4156750
