STRAIN	TOTAL	CORE	ACCESSORY	SINGLETON	CHROM	START	END
Aspergillus_fumigatus_AF90	18	17	1	0	scaffold_1	899041	949041
Aspergillus_fumigatus_AF90	18	17	1	0	scaffold_4	2055183	2105183
Aspergillus_fumigatus_AF90	18	17	1	0	scaffold_7	315994	365994
Aspergillus_fumigatus_AF90	24	22	2	0	scaffold_2	1959887	2009887
Aspergillus_fumigatus_AF90	18	16	2	0	scaffold_2	2213272	2263272
Aspergillus_fumigatus_AF90	16	13	3	0	scaffold_5	2360597	2410597
Aspergillus_fumigatus_AF90	22	20	2	0	scaffold_3	2211391	2261391
Aspergillus_fumigatus_AF90	22	17	5	0	scaffold_6	2553567	2603567
Aspergillus_fumigatus_AF90	23	22	1	0	scaffold_3	1066455	1116455
Aspergillus_fumigatus_AF90	12	10	2	0	scaffold_4	1216960	1266960
Aspergillus_fumigatus_AF90	19	17	2	0	scaffold_3	336961	386961
Aspergillus_fumigatus_AF90	20	20	0	0	scaffold_2	945957	995957
Aspergillus_fumigatus_AF90	21	19	2	0	scaffold_3	307527	357527
Aspergillus_fumigatus_AF90	20	19	1	0	scaffold_6	1379675	1429675
Aspergillus_fumigatus_AF90	19	16	3	0	scaffold_5	2167094	2217094
Aspergillus_fumigatus_AF90	19	18	1	0	scaffold_2	1446358	1496358
Aspergillus_fumigatus_AF90	17	16	1	0	scaffold_3	215297	265297
Aspergillus_fumigatus_AF90	15	12	3	0	scaffold_6	269571	319571
Aspergillus_fumigatus_AF90	19	14	5	0	scaffold_1	677655	727655
Aspergillus_fumigatus_AF90	21	20	1	0	scaffold_1	4725416	4775416
Aspergillus_fumigatus_AF90	22	21	1	0	scaffold_2	2385735	2435735
Aspergillus_fumigatus_AF90	13	12	1	0	scaffold_1	3030777	3080777
Aspergillus_fumigatus_AF90	17	16	1	0	scaffold_3	3084363	3134363
Aspergillus_fumigatus_AF90	15	13	2	0	scaffold_5	2486238	2536238
Aspergillus_fumigatus_AF90	15	13	2	0	scaffold_6	3238418	3288418
Aspergillus_fumigatus_AF90	21	17	4	0	scaffold_4	2705386	2755386
Aspergillus_fumigatus_AF90	15	14	1	0	scaffold_6	511289	561289
Aspergillus_fumigatus_AF90	23	20	3	0	scaffold_7	130642	180642
Aspergillus_fumigatus_AF90	17	17	0	0	scaffold_6	1544746	1594746
Aspergillus_fumigatus_AF90	12	11	1	0	scaffold_7	987778	1037778
Aspergillus_fumigatus_AF90	24	19	5	0	scaffold_8	1375396	1425396
Aspergillus_fumigatus_AF90	19	16	3	0	scaffold_4	1842377	1892377
Aspergillus_fumigatus_AF90	22	21	1	0	scaffold_3	1074438	1124438
Aspergillus_fumigatus_AF90	21	21	0	0	scaffold_2	4244516	4294516
Aspergillus_fumigatus_AF90	24	18	6	0	scaffold_1	661812	711812
Aspergillus_fumigatus_AF90	20	17	3	0	scaffold_2	864069	914069
Aspergillus_fumigatus_AF90	17	16	1	0	scaffold_2	2434710	2484710
Aspergillus_fumigatus_AF90	17	15	2	0	scaffold_2	4035309	4085309
Aspergillus_fumigatus_AF90	23	23	0	0	scaffold_6	2629020	2679020
Aspergillus_fumigatus_AF90	23	21	2	0	scaffold_3	2187252	2237252
Aspergillus_fumigatus_AF90	18	16	1	1	scaffold_3	3781603	3831603
Aspergillus_fumigatus_AF90	15	15	0	0	scaffold_4	3228320	3278320
Aspergillus_fumigatus_AF90	25	21	4	0	scaffold_4	556234	606234
Aspergillus_fumigatus_AF90	17	16	1	0	scaffold_7	622598	672598
Aspergillus_fumigatus_AF90	21	17	4	0	scaffold_1	4653888	4703888
Aspergillus_fumigatus_AF90	14	13	1	0	scaffold_1	1218104	1268104
Aspergillus_fumigatus_AF90	12	11	1	0	scaffold_4	1815040	1865040
Aspergillus_fumigatus_AF90	26	24	2	0	scaffold_3	4099106	4149106
Aspergillus_fumigatus_AF90	8	6	2	0	scaffold_6	1292061	1342061
Aspergillus_fumigatus_AF90	23	23	0	0	scaffold_5	1725653	1775653
Aspergillus_fumigatus_AF90	20	19	1	0	scaffold_5	780389	830389
Aspergillus_fumigatus_AF90	22	19	3	0	scaffold_1	6880	56880
Aspergillus_fumigatus_AF90	24	22	2	0	scaffold_5	2448878	2498878
Aspergillus_fumigatus_AF90	19	18	1	0	scaffold_2	2887585	2937585
Aspergillus_fumigatus_AF90	24	23	1	0	scaffold_7	153275	203275
Aspergillus_fumigatus_AF90	21	17	4	0	scaffold_1	3304638	3354638
Aspergillus_fumigatus_AF90	7	7	0	0	scaffold_1	4758561	4808561
Aspergillus_fumigatus_AF90	19	18	1	0	scaffold_4	1028264	1078264
Aspergillus_fumigatus_AF90	18	15	3	0	scaffold_4	1842942	1892942
Aspergillus_fumigatus_AF90	15	15	0	0	scaffold_4	1552932	1602932
Aspergillus_fumigatus_AF90	24	23	1	0	scaffold_3	456659	506659
Aspergillus_fumigatus_AF90	19	19	0	0	scaffold_5	2965059	3015059
Aspergillus_fumigatus_AF90	14	13	1	0	scaffold_1	3635087	3685087
Aspergillus_fumigatus_AF90	20	17	3	0	scaffold_3	3304524	3354524
Aspergillus_fumigatus_AF90	19	17	2	0	scaffold_1	4069137	4119137
Aspergillus_fumigatus_AF90	13	12	1	0	scaffold_4	1565042	1615042
Aspergillus_fumigatus_AF90	21	21	0	0	scaffold_3	3958033	4008033
Aspergillus_fumigatus_AF90	9	9	0	0	scaffold_2	2254934	2304934
Aspergillus_fumigatus_AF90	21	19	2	0	scaffold_6	1152188	1202188
Aspergillus_fumigatus_AF90	20	18	2	0	scaffold_3	2133715	2183715
Aspergillus_fumigatus_AF90	18	17	1	0	scaffold_3	1867964	1917964
Aspergillus_fumigatus_AF90	17	15	2	0	scaffold_1	1073947	1123947
Aspergillus_fumigatus_AF90	12	11	1	0	scaffold_5	2307363	2357363
Aspergillus_fumigatus_AF90	21	20	1	0	scaffold_3	367671	417671
Aspergillus_fumigatus_AF90	16	14	2	0	scaffold_6	2073666	2123666
Aspergillus_fumigatus_AF90	24	20	4	0	scaffold_6	2465454	2515454
Aspergillus_fumigatus_AF90	2	0	2	0	scaffold_4	3679781	3729781
Aspergillus_fumigatus_AF90	11	11	0	0	scaffold_1	1781804	1831804
Aspergillus_fumigatus_AF90	8	7	1	0	scaffold_1	2195725	2245725
Aspergillus_fumigatus_AF90	12	9	3	0	scaffold_6	1630172	1680172
Aspergillus_fumigatus_AF90	17	16	1	0	scaffold_1	2046928	2096928
Aspergillus_fumigatus_AF90	15	14	1	0	scaffold_1	3592015	3642015
Aspergillus_fumigatus_AF90	21	20	1	0	scaffold_1	3878536	3928536
Aspergillus_fumigatus_AF90	22	22	0	0	scaffold_6	2607853	2657853
Aspergillus_fumigatus_AF90	18	16	2	0	scaffold_5	2329887	2379887
Aspergillus_fumigatus_AF90	22	20	2	0	scaffold_3	2173884	2223884
Aspergillus_fumigatus_AF90	19	19	0	0	scaffold_3	1818091	1868091
Aspergillus_fumigatus_AF90	20	17	3	0	scaffold_1	3227900	3277900
Aspergillus_fumigatus_AF90	18	17	1	0	scaffold_2	3068230	3118230
Aspergillus_fumigatus_AF90	25	20	5	0	scaffold_5	46826	96826
Aspergillus_fumigatus_AF90	21	19	2	0	scaffold_1	361249	411249
Aspergillus_fumigatus_AF90	22	21	1	0	scaffold_3	431333	481333
Aspergillus_fumigatus_AF90	14	13	1	0	scaffold_5	2387653	2437653
Aspergillus_fumigatus_AF90	16	16	0	0	scaffold_2	4561246	4611246
Aspergillus_fumigatus_AF90	22	20	2	0	scaffold_6	2120311	2170311
Aspergillus_fumigatus_AF90	23	22	1	0	scaffold_5	1795210	1845210
Aspergillus_fumigatus_AF90	17	17	0	0	scaffold_4	2564342	2614342
Aspergillus_fumigatus_AF90	21	19	2	0	scaffold_5	1901426	1951426
Aspergillus_fumigatus_AF90	21	18	3	0	scaffold_5	1891736	1941736
Aspergillus_fumigatus_AF90	5	5	0	0	scaffold_6	1261444	1311444
Aspergillus_fumigatus_AF90	23	22	1	0	scaffold_5	2844221	2894221
Aspergillus_fumigatus_AF90	13	8	5	0	scaffold_4	3109509	3159509
Aspergillus_fumigatus_AF90	18	14	4	0	scaffold_4	228031	278031
Aspergillus_fumigatus_AF90	18	17	1	0	scaffold_3	354962	404962
Aspergillus_fumigatus_AF90	17	15	2	0	scaffold_2	872246	922246
Aspergillus_fumigatus_AF90	17	15	2	0	scaffold_2	2348136	2398136
Aspergillus_fumigatus_AF90	18	16	2	0	scaffold_2	2215713	2265713
Aspergillus_fumigatus_AF90	15	15	0	0	scaffold_5	2681035	2731035
Aspergillus_fumigatus_AF90	13	13	0	0	scaffold_5	2725864	2775864
Aspergillus_fumigatus_AF90	24	20	4	0	scaffold_1	2811979	2861979
Aspergillus_fumigatus_AF90	19	17	2	0	scaffold_7	1833383	1883383
Aspergillus_fumigatus_AF90	23	21	2	0	scaffold_5	3385670	3435670
Aspergillus_fumigatus_AF90	23	20	3	0	scaffold_4	1360360	1410360
Aspergillus_fumigatus_AF90	20	20	0	0	scaffold_3	3970109	4020109
Aspergillus_fumigatus_AF90	20	19	1	0	scaffold_4	2169295	2219295
Aspergillus_fumigatus_AF90	18	16	2	0	scaffold_1	1346523	1396523
Aspergillus_fumigatus_AF90	21	20	1	0	scaffold_6	2821477	2871477
Aspergillus_fumigatus_AF90	20	16	4	0	scaffold_6	2664452	2714452
Aspergillus_fumigatus_AF90	24	23	1	0	scaffold_5	1171688	1221688
Aspergillus_fumigatus_AF90	13	13	0	0	scaffold_2	3444484	3494484
