STRAIN	TOTAL	CORE	ACCESSORY	SINGLETON	CHROM	START	END
Aspergillus_fumigatus_F16311	18	16	2	0	scaffold_2	1635974	1685974
Aspergillus_fumigatus_F16311	17	15	2	0	scaffold_1	1076009	1126009
Aspergillus_fumigatus_F16311	17	13	4	0	scaffold_4	2217361	2267361
Aspergillus_fumigatus_F16311	20	19	1	0	scaffold_3	3498780	3548780
Aspergillus_fumigatus_F16311	0	0	0	0	scaffold_7	712800	762800
Aspergillus_fumigatus_F16311	26	24	2	0	scaffold_7	1599641	1649641
Aspergillus_fumigatus_F16311	17	17	0	0	scaffold_2	3454652	3504652
Aspergillus_fumigatus_F16311	19	18	1	0	scaffold_3	649845	699845
Aspergillus_fumigatus_F16311	18	15	3	0	scaffold_2	3368818	3418818
Aspergillus_fumigatus_F16311	20	20	0	0	scaffold_2	272057	322057
Aspergillus_fumigatus_F16311	16	15	1	0	scaffold_6	2146491	2196491
Aspergillus_fumigatus_F16311	13	6	7	0	scaffold_2	198934	248934
Aspergillus_fumigatus_F16311	19	18	1	0	scaffold_3	649399	699399
Aspergillus_fumigatus_F16311	17	17	0	0	scaffold_4	1351150	1401150
Aspergillus_fumigatus_F16311	20	20	0	0	scaffold_5	3488720	3538720
Aspergillus_fumigatus_F16311	26	22	4	0	scaffold_7	1564378	1614378
Aspergillus_fumigatus_F16311	24	23	1	0	scaffold_7	268146	318146
Aspergillus_fumigatus_F16311	26	21	5	0	scaffold_5	24517	74517
Aspergillus_fumigatus_F16311	16	14	2	0	scaffold_1	1645176	1695176
Aspergillus_fumigatus_F16311	16	15	1	0	scaffold_6	2408339	2458339
Aspergillus_fumigatus_F16311	15	15	0	0	scaffold_5	964366	1014366
Aspergillus_fumigatus_F16311	15	0	15	0	scaffold_7	1892657	1942657
Aspergillus_fumigatus_F16311	17	16	1	0	scaffold_6	1189529	1239529
Aspergillus_fumigatus_F16311	20	20	0	0	scaffold_4	1931594	1981594
Aspergillus_fumigatus_F16311	18	15	3	0	scaffold_1	3229032	3279032
Aspergillus_fumigatus_F16311	20	19	1	0	scaffold_2	2112592	2162592
Aspergillus_fumigatus_F16311	19	17	2	0	scaffold_4	1024027	1074027
Aspergillus_fumigatus_F16311	16	15	1	0	scaffold_1	1281885	1331885
Aspergillus_fumigatus_F16311	14	14	0	0	scaffold_6	1907959	1957959
Aspergillus_fumigatus_F16311	21	17	4	0	scaffold_8	447023	497023
Aspergillus_fumigatus_F16311	26	23	3	0	scaffold_5	1776069	1826069
Aspergillus_fumigatus_F16311	14	12	2	0	scaffold_6	2418	52418
Aspergillus_fumigatus_F16311	10	3	7	0	scaffold_6	3063454	3113454
Aspergillus_fumigatus_F16311	18	14	4	0	scaffold_4	2719042	2769042
Aspergillus_fumigatus_F16311	16	16	0	0	scaffold_6	860611	910611
Aspergillus_fumigatus_F16311	18	17	1	0	scaffold_5	2018223	2068223
Aspergillus_fumigatus_F16311	20	18	2	0	scaffold_1	4780111	4830111
Aspergillus_fumigatus_F16311	17	14	3	0	scaffold_1	3992458	4042458
Aspergillus_fumigatus_F16311	5	4	1	0	scaffold_3	861535	911535
Aspergillus_fumigatus_F16311	13	12	1	0	scaffold_5	1939907	1989907
Aspergillus_fumigatus_F16311	16	15	1	0	scaffold_2	3039604	3089604
Aspergillus_fumigatus_F16311	20	17	3	0	scaffold_6	2978137	3028137
Aspergillus_fumigatus_F16311	22	20	2	0	scaffold_8	629018	679018
Aspergillus_fumigatus_F16311	21	18	3	0	scaffold_3	2712250	2762250
Aspergillus_fumigatus_F16311	15	10	5	0	scaffold_5	3784981	3834981
Aspergillus_fumigatus_F16311	18	17	1	0	scaffold_1	846204	896204
Aspergillus_fumigatus_F16311	22	19	3	0	scaffold_5	532113	582113
Aspergillus_fumigatus_F16311	17	17	0	0	scaffold_2	2052750	2102750
Aspergillus_fumigatus_F16311	24	22	2	0	scaffold_6	1782217	1832217
Aspergillus_fumigatus_F16311	19	19	0	0	scaffold_3	3521776	3571776
Aspergillus_fumigatus_F16311	21	16	5	0	scaffold_3	63145	113145
Aspergillus_fumigatus_F16311	15	13	2	0	scaffold_6	429957	479957
Aspergillus_fumigatus_F16311	23	22	1	0	scaffold_4	207863	257863
Aspergillus_fumigatus_F16311	24	22	2	0	scaffold_6	2677594	2727594
Aspergillus_fumigatus_F16311	19	18	1	0	scaffold_4	1475258	1525258
Aspergillus_fumigatus_F16311	23	20	3	0	scaffold_3	2223946	2273946
Aspergillus_fumigatus_F16311	22	20	2	0	scaffold_2	2945667	2995667
Aspergillus_fumigatus_F16311	20	17	3	0	scaffold_4	1796512	1846512
Aspergillus_fumigatus_F16311	14	13	1	0	scaffold_7	586844	636844
Aspergillus_fumigatus_F16311	7	7	0	0	scaffold_1	1742858	1792858
Aspergillus_fumigatus_F16311	11	10	1	0	scaffold_7	677381	727381
Aspergillus_fumigatus_F16311	21	19	2	0	scaffold_2	3625835	3675835
Aspergillus_fumigatus_F16311	20	20	0	0	scaffold_5	1904080	1954080
Aspergillus_fumigatus_F16311	20	18	2	0	scaffold_6	2385146	2435146
Aspergillus_fumigatus_F16311	19	18	1	0	scaffold_6	1636142	1686142
Aspergillus_fumigatus_F16311	19	18	1	0	scaffold_1	2722138	2772138
Aspergillus_fumigatus_F16311	17	16	1	0	scaffold_2	1434277	1484277
Aspergillus_fumigatus_F16311	24	22	2	0	scaffold_6	1774640	1824640
Aspergillus_fumigatus_F16311	18	18	0	0	scaffold_4	3129000	3179000
Aspergillus_fumigatus_F16311	19	18	1	0	scaffold_5	908087	958087
Aspergillus_fumigatus_F16311	19	19	0	0	scaffold_3	1793774	1843774
Aspergillus_fumigatus_F16311	17	14	3	0	scaffold_5	1852033	1902033
Aspergillus_fumigatus_F16311	24	21	3	0	scaffold_8	609027	659027
Aspergillus_fumigatus_F16311	21	19	2	0	scaffold_6	502688	552688
Aspergillus_fumigatus_F16311	18	17	1	0	scaffold_3	1746377	1796377
Aspergillus_fumigatus_F16311	20	20	0	0	scaffold_5	3460180	3510180
Aspergillus_fumigatus_F16311	16	15	1	0	scaffold_5	1956191	2006191
Aspergillus_fumigatus_F16311	22	22	0	0	scaffold_5	2960968	3010968
Aspergillus_fumigatus_F16311	20	19	1	0	scaffold_1	344849	394849
Aspergillus_fumigatus_F16311	21	21	0	0	scaffold_5	635425	685425
Aspergillus_fumigatus_F16311	19	17	2	0	scaffold_5	2289895	2339895
Aspergillus_fumigatus_F16311	19	17	2	0	scaffold_4	2902000	2952000
Aspergillus_fumigatus_F16311	22	20	2	0	scaffold_2	1502715	1552715
Aspergillus_fumigatus_F16311	14	11	3	0	scaffold_5	1714283	1764283
Aspergillus_fumigatus_F16311	19	17	2	0	scaffold_6	1396121	1446121
Aspergillus_fumigatus_F16311	18	17	1	0	scaffold_4	1890221	1940221
Aspergillus_fumigatus_F16311	21	5	16	0	scaffold_4	340868	390868
Aspergillus_fumigatus_F16311	23	21	2	0	scaffold_5	1801670	1851670
Aspergillus_fumigatus_F16311	19	19	0	0	scaffold_7	477690	527690
Aspergillus_fumigatus_F16311	16	16	0	0	scaffold_5	1112200	1162200
Aspergillus_fumigatus_F16311	22	11	11	0	scaffold_6	2014624	2064624
Aspergillus_fumigatus_F16311	19	19	0	0	scaffold_1	623690	673690
Aspergillus_fumigatus_F16311	24	20	4	0	scaffold_3	3871501	3921501
Aspergillus_fumigatus_F16311	19	17	2	0	scaffold_5	1177733	1227733
Aspergillus_fumigatus_F16311	23	21	2	0	scaffold_1	4830950	4880950
Aspergillus_fumigatus_F16311	22	20	2	0	scaffold_1	2882228	2932228
Aspergillus_fumigatus_F16311	19	17	2	0	scaffold_8	1140532	1190532
Aspergillus_fumigatus_F16311	15	15	0	0	scaffold_2	720584	770584
Aspergillus_fumigatus_F16311	15	13	2	0	scaffold_1	904742	954742
Aspergillus_fumigatus_F16311	17	16	1	0	scaffold_2	1393847	1443847
Aspergillus_fumigatus_F16311	15	14	1	0	scaffold_6	2147645	2197645
Aspergillus_fumigatus_F16311	14	12	2	0	scaffold_1	2305456	2355456
Aspergillus_fumigatus_F16311	28	27	1	0	scaffold_2	951243	1001243
Aspergillus_fumigatus_F16311	20	16	4	0	scaffold_2	1455564	1505564
Aspergillus_fumigatus_F16311	19	12	7	0	scaffold_2	2876615	2926615
Aspergillus_fumigatus_F16311	18	18	0	0	scaffold_5	615117	665117
Aspergillus_fumigatus_F16311	23	21	2	0	scaffold_1	3121727	3171727
