STRAIN	TOTAL	CORE	ACCESSORY	SINGLETON	CHROM	START	END
Aspergillus_fumigatus_AZTEC_4_250	21	19	2	0	scaffold_2	582154	632154
Aspergillus_fumigatus_AZTEC_4_250	9	7	2	0	scaffold_2	4042810	4092810
Aspergillus_fumigatus_AZTEC_4_250	13	11	2	0	scaffold_4	2964105	3014105
Aspergillus_fumigatus_AZTEC_4_250	22	22	0	0	scaffold_5	2938650	2988650
Aspergillus_fumigatus_AZTEC_4_250	22	18	4	0	scaffold_6	2567318	2617318
Aspergillus_fumigatus_AZTEC_4_250	16	14	2	0	scaffold_7	722239	772239
Aspergillus_fumigatus_AZTEC_4_250	20	18	2	0	scaffold_1	3011985	3061985
Aspergillus_fumigatus_AZTEC_4_250	23	20	3	0	scaffold_1	4745493	4795493
Aspergillus_fumigatus_AZTEC_4_250	19	17	2	0	scaffold_8	1065969	1115969
Aspergillus_fumigatus_AZTEC_4_250	16	16	0	0	scaffold_3	2552789	2602789
Aspergillus_fumigatus_AZTEC_4_250	22	20	2	0	scaffold_3	1792942	1842942
Aspergillus_fumigatus_AZTEC_4_250	20	18	2	0	scaffold_2	501564	551564
Aspergillus_fumigatus_AZTEC_4_250	19	15	4	0	scaffold_1	2955367	3005367
Aspergillus_fumigatus_AZTEC_4_250	15	14	1	0	scaffold_2	3893273	3943273
Aspergillus_fumigatus_AZTEC_4_250	18	18	0	0	scaffold_1	1238235	1288235
Aspergillus_fumigatus_AZTEC_4_250	15	11	4	0	scaffold_3	3563321	3613321
Aspergillus_fumigatus_AZTEC_4_250	20	18	2	0	scaffold_5	1619501	1669501
Aspergillus_fumigatus_AZTEC_4_250	22	20	2	0	scaffold_3	2124031	2174031
Aspergillus_fumigatus_AZTEC_4_250	22	19	3	0	scaffold_4	3292771	3342771
Aspergillus_fumigatus_AZTEC_4_250	18	18	0	0	scaffold_1	573813	623813
Aspergillus_fumigatus_AZTEC_4_250	15	15	0	0	scaffold_8	696367	746367
Aspergillus_fumigatus_AZTEC_4_250	19	18	1	0	scaffold_3	3022858	3072858
Aspergillus_fumigatus_AZTEC_4_250	20	19	1	0	scaffold_3	3705948	3755948
Aspergillus_fumigatus_AZTEC_4_250	17	16	1	0	scaffold_2	2463863	2513863
Aspergillus_fumigatus_AZTEC_4_250	15	0	15	0	scaffold_1	4321641	4371641
Aspergillus_fumigatus_AZTEC_4_250	19	18	1	0	scaffold_4	746698	796698
Aspergillus_fumigatus_AZTEC_4_250	16	15	1	0	scaffold_4	1072013	1122013
Aspergillus_fumigatus_AZTEC_4_250	21	17	4	0	scaffold_2	585921	635921
Aspergillus_fumigatus_AZTEC_4_250	18	18	0	0	scaffold_1	2696803	2746803
Aspergillus_fumigatus_AZTEC_4_250	22	22	0	0	scaffold_3	563481	613481
Aspergillus_fumigatus_AZTEC_4_250	20	17	3	0	scaffold_1	4692212	4742212
Aspergillus_fumigatus_AZTEC_4_250	15	11	4	0	scaffold_1	1996305	2046305
Aspergillus_fumigatus_AZTEC_4_250	15	15	0	0	scaffold_1	1486923	1536923
