STRAIN	TOTAL	CORE	ACCESSORY	SINGLETON	CHROM	START	END
Aspergillus_fumigatus_AF100-12_23	20	17	3	0	scaffold_3	388128	438128
Aspergillus_fumigatus_AF100-12_23	15	12	3	0	scaffold_7	594783	644783
Aspergillus_fumigatus_AF100-12_23	12	8	4	0	scaffold_6	3648037	3698037
Aspergillus_fumigatus_AF100-12_23	22	20	2	0	scaffold_1	3272719	3322719
Aspergillus_fumigatus_AF100-12_23	15	12	3	0	scaffold_2	1215684	1265684
Aspergillus_fumigatus_AF100-12_23	17	13	4	0	scaffold_6	2817823	2867823
Aspergillus_fumigatus_AF100-12_23	12	12	0	0	scaffold_4	1430456	1480456
Aspergillus_fumigatus_AF100-12_23	20	18	2	0	scaffold_8	41569	91569
Aspergillus_fumigatus_AF100-12_23	20	17	3	0	scaffold_3	402830	452830
Aspergillus_fumigatus_AF100-12_23	19	17	2	0	scaffold_4	515861	565861
Aspergillus_fumigatus_AF100-12_23	14	13	1	0	scaffold_4	1457362	1507362
Aspergillus_fumigatus_AF100-12_23	19	17	2	0	scaffold_1	376053	426053
Aspergillus_fumigatus_AF100-12_23	18	16	2	0	scaffold_1	799265	849265
Aspergillus_fumigatus_AF100-12_23	21	21	0	0	scaffold_4	1766164	1816164
Aspergillus_fumigatus_AF100-12_23	11	6	5	0	scaffold_6	18545	68545
Aspergillus_fumigatus_AF100-12_23	17	17	0	0	scaffold_1	2715211	2765211
Aspergillus_fumigatus_AF100-12_23	14	13	1	0	scaffold_2	255598	305598
Aspergillus_fumigatus_AF100-12_23	20	17	3	0	scaffold_4	2233655	2283655
Aspergillus_fumigatus_AF100-12_23	17	16	1	0	scaffold_2	1147990	1197990
Aspergillus_fumigatus_AF100-12_23	15	13	2	0	scaffold_8	1316501	1366501
Aspergillus_fumigatus_AF100-12_23	19	16	3	0	scaffold_1	4642079	4692079
Aspergillus_fumigatus_AF100-12_23	18	16	2	0	scaffold_2	1241054	1291054
Aspergillus_fumigatus_AF100-12_23	17	17	0	0	scaffold_7	961225	1011225
Aspergillus_fumigatus_AF100-12_23	18	18	0	0	scaffold_6	3526058	3576058
Aspergillus_fumigatus_AF100-12_23	17	17	0	0	scaffold_2	2477076	2527076
Aspergillus_fumigatus_AF100-12_23	18	17	1	0	scaffold_2	3138279	3188279
Aspergillus_fumigatus_AF100-12_23	24	22	2	0	scaffold_3	4012148	4062148
Aspergillus_fumigatus_AF100-12_23	18	15	3	0	scaffold_1	4641772	4691772
Aspergillus_fumigatus_AF100-12_23	12	1	11	0	scaffold_3	51499	101499
Aspergillus_fumigatus_AF100-12_23	20	20	0	0	scaffold_1	2489006	2539006
Aspergillus_fumigatus_AF100-12_23	6	5	1	0	scaffold_6	2159668	2209668
Aspergillus_fumigatus_AF100-12_23	18	18	0	0	scaffold_2	1085832	1135832
Aspergillus_fumigatus_AF100-12_23	19	18	1	0	scaffold_4	1634466	1684466
Aspergillus_fumigatus_AF100-12_23	21	19	2	0	scaffold_6	1382024	1432024
Aspergillus_fumigatus_AF100-12_23	17	15	2	0	scaffold_6	2488755	2538755
Aspergillus_fumigatus_AF100-12_23	18	17	1	0	scaffold_6	414520	464520
Aspergillus_fumigatus_AF100-12_23	22	19	3	0	scaffold_3	3315930	3365930
Aspergillus_fumigatus_AF100-12_23	17	17	0	0	scaffold_8	475553	525553
Aspergillus_fumigatus_AF100-12_23	15	14	1	0	scaffold_1	1990647	2040647
Aspergillus_fumigatus_AF100-12_23	15	13	2	0	scaffold_6	1853870	1903870
Aspergillus_fumigatus_AF100-12_23	4	3	1	0	scaffold_5	1126023	1176023
Aspergillus_fumigatus_AF100-12_23	16	12	4	0	scaffold_3	2585855	2635855
Aspergillus_fumigatus_AF100-12_23	20	17	3	0	scaffold_3	2674589	2724589
Aspergillus_fumigatus_AF100-12_23	21	0	21	0	scaffold_1	4487918	4537918
Aspergillus_fumigatus_AF100-12_23	16	16	0	0	scaffold_6	3303691	3353691
Aspergillus_fumigatus_AF100-12_23	17	17	0	0	scaffold_6	624162	674162
Aspergillus_fumigatus_AF100-12_23	19	15	4	0	scaffold_1	2949000	2999000
