STRAIN	TOTAL	CORE	ACCESSORY	SINGLETON	CHROM	START	END
Aspergillus_fumigatus_MO69250EXP	38	33	5	0	scaffold_6	1165828	1265828
Aspergillus_fumigatus_MO69250EXP	38	32	6	0	scaffold_3	3975244	4075244
Aspergillus_fumigatus_MO69250EXP	44	41	3	0	scaffold_6	2561801	2661801
Aspergillus_fumigatus_MO69250EXP	37	35	2	0	scaffold_3	3284321	3384321
Aspergillus_fumigatus_MO69250EXP	40	34	6	0	scaffold_2	3212430	3312430
Aspergillus_fumigatus_MO69250EXP	38	34	4	0	scaffold_4	687883	787883
Aspergillus_fumigatus_MO69250EXP	50	46	4	0	scaffold_1	235890	335890
Aspergillus_fumigatus_MO69250EXP	39	35	4	0	scaffold_8	282918	382918
Aspergillus_fumigatus_MO69250EXP	50	37	13	0	scaffold_2	96674	196674
Aspergillus_fumigatus_MO69250EXP	39	36	3	0	scaffold_3	3318112	3418112
Aspergillus_fumigatus_MO69250EXP	38	37	1	0	scaffold_5	2793525	2893525
Aspergillus_fumigatus_MO69250EXP	37	34	3	0	scaffold_6	1070385	1170385
Aspergillus_fumigatus_MO69250EXP	38	36	2	0	scaffold_5	251319	351319
Aspergillus_fumigatus_MO69250EXP	37	33	4	0	scaffold_4	598210	698210
Aspergillus_fumigatus_MO69250EXP	40	40	0	0	scaffold_8	1093342	1193342
Aspergillus_fumigatus_MO69250EXP	39	34	5	0	scaffold_3	2939645	3039645
Aspergillus_fumigatus_MO69250EXP	38	38	0	0	scaffold_6	2949637	3049637
Aspergillus_fumigatus_MO69250EXP	33	32	1	0	scaffold_2	3035892	3135892
Aspergillus_fumigatus_MO69250EXP	36	34	2	0	scaffold_2	380540	480540
Aspergillus_fumigatus_MO69250EXP	41	39	2	0	scaffold_6	2079398	2179398
Aspergillus_fumigatus_MO69250EXP	41	40	1	0	scaffold_5	3106502	3206502
Aspergillus_fumigatus_MO69250EXP	32	11	21	0	scaffold_3	693629	793629
Aspergillus_fumigatus_MO69250EXP	35	32	3	0	scaffold_1	4120034	4220034
Aspergillus_fumigatus_MO69250EXP	30	29	1	0	scaffold_5	1270794	1370794
Aspergillus_fumigatus_MO69250EXP	38	33	5	0	scaffold_8	437120	537120
Aspergillus_fumigatus_MO69250EXP	34	29	5	0	scaffold_8	416063	516063
Aspergillus_fumigatus_MO69250EXP	17	15	2	0	scaffold_6	147418	247418
Aspergillus_fumigatus_MO69250EXP	37	35	2	0	scaffold_6	2088003	2188003
Aspergillus_fumigatus_MO69250EXP	34	33	1	0	scaffold_1	968721	1068721
Aspergillus_fumigatus_MO69250EXP	37	27	10	0	scaffold_1	3044080	3144080
Aspergillus_fumigatus_MO69250EXP	34	30	4	0	scaffold_2	3498554	3598554
Aspergillus_fumigatus_MO69250EXP	47	43	4	0	scaffold_4	727929	827929
Aspergillus_fumigatus_MO69250EXP	48	44	4	0	scaffold_1	218951	318951
Aspergillus_fumigatus_MO69250EXP	43	36	7	0	scaffold_2	128117	228117
Aspergillus_fumigatus_MO69250EXP	40	39	1	0	scaffold_3	2415582	2515582
Aspergillus_fumigatus_MO69250EXP	36	33	3	0	scaffold_4	2070413	2170413
Aspergillus_fumigatus_MO69250EXP	32	31	1	0	scaffold_3	1954647	2054647
Aspergillus_fumigatus_MO69250EXP	36	35	1	0	scaffold_2	2178033	2278033
Aspergillus_fumigatus_MO69250EXP	35	29	6	0	scaffold_3	2728373	2828373
Aspergillus_fumigatus_MO69250EXP	39	35	4	0	scaffold_2	3055607	3155607
Aspergillus_fumigatus_MO69250EXP	31	31	0	0	scaffold_2	718554	818554
Aspergillus_fumigatus_MO69250EXP	41	38	3	0	scaffold_4	2358061	2458061
Aspergillus_fumigatus_MO69250EXP	37	31	5	1	scaffold_7	182545	282545
Aspergillus_fumigatus_MO69250EXP	40	35	5	0	scaffold_2	258540	358540
Aspergillus_fumigatus_MO69250EXP	45	39	6	0	scaffold_3	327899	427899
Aspergillus_fumigatus_MO69250EXP	42	40	2	0	scaffold_7	1009677	1109677
Aspergillus_fumigatus_MO69250EXP	39	37	2	0	scaffold_2	3659471	3759471
Aspergillus_fumigatus_MO69250EXP	36	34	2	0	scaffold_6	502861	602861
Aspergillus_fumigatus_MO69250EXP	39	35	4	0	scaffold_2	3320051	3420051
Aspergillus_fumigatus_MO69250EXP	38	36	2	0	scaffold_2	2624242	2724242
Aspergillus_fumigatus_MO69250EXP	24	21	3	0	scaffold_8	804243	904243
Aspergillus_fumigatus_MO69250EXP	39	38	1	0	scaffold_5	2243973	2343973
Aspergillus_fumigatus_MO69250EXP	27	25	2	0	scaffold_3	3542115	3642115
Aspergillus_fumigatus_MO69250EXP	36	35	1	0	scaffold_6	1386266	1486266
Aspergillus_fumigatus_MO69250EXP	39	35	4	0	scaffold_1	3647433	3747433
Aspergillus_fumigatus_MO69250EXP	35	32	3	0	scaffold_2	3617639	3717639
Aspergillus_fumigatus_MO69250EXP	36	33	3	0	scaffold_1	1669772	1769772
Aspergillus_fumigatus_MO69250EXP	36	31	5	0	scaffold_5	1488086	1588086
Aspergillus_fumigatus_MO69250EXP	33	29	4	0	scaffold_7	545106	645106
Aspergillus_fumigatus_MO69250EXP	37	35	2	0	scaffold_4	1307845	1407845
Aspergillus_fumigatus_MO69250EXP	40	29	11	0	scaffold_4	2230726	2330726
Aspergillus_fumigatus_MO69250EXP	32	30	2	0	scaffold_5	2152332	2252332
Aspergillus_fumigatus_MO69250EXP	39	33	6	0	scaffold_2	3820383	3920383
Aspergillus_fumigatus_MO69250EXP	32	30	2	0	scaffold_8	914887	1014887
Aspergillus_fumigatus_MO69250EXP	43	36	7	0	scaffold_4	569984	669984
Aspergillus_fumigatus_MO69250EXP	39	33	6	0	scaffold_1	1335250	1435250
Aspergillus_fumigatus_MO69250EXP	31	30	1	0	scaffold_3	1639308	1739308
Aspergillus_fumigatus_MO69250EXP	42	40	2	0	scaffold_7	1013235	1113235
Aspergillus_fumigatus_MO69250EXP	42	38	4	0	scaffold_7	1526117	1626117
Aspergillus_fumigatus_MO69250EXP	37	33	4	0	scaffold_4	901969	1001969
Aspergillus_fumigatus_MO69250EXP	20	1	19	0	scaffold_1	52782	152782
Aspergillus_fumigatus_MO69250EXP	36	35	1	0	scaffold_5	2726259	2826259
Aspergillus_fumigatus_MO69250EXP	34	33	1	0	scaffold_2	733785	833785
Aspergillus_fumigatus_MO69250EXP	39	36	3	0	scaffold_6	1335953	1435953
Aspergillus_fumigatus_MO69250EXP	35	35	0	0	scaffold_2	2479626	2579626
Aspergillus_fumigatus_MO69250EXP	30	28	2	0	scaffold_8	1294174	1394174
Aspergillus_fumigatus_MO69250EXP	40	37	3	0	scaffold_4	1636655	1736655
Aspergillus_fumigatus_MO69250EXP	39	36	3	0	scaffold_1	3642849	3742849
Aspergillus_fumigatus_MO69250EXP	37	37	0	0	scaffold_5	497000	597000
Aspergillus_fumigatus_MO69250EXP	36	34	2	0	scaffold_6	1375315	1475315
Aspergillus_fumigatus_MO69250EXP	32	31	1	0	scaffold_1	865650	965650
Aspergillus_fumigatus_MO69250EXP	36	35	1	0	scaffold_5	2182124	2282124
Aspergillus_fumigatus_MO69250EXP	37	33	4	0	scaffold_6	1587856	1687856
Aspergillus_fumigatus_MO69250EXP	36	31	5	0	scaffold_8	1510501	1610501
Aspergillus_fumigatus_MO69250EXP	44	42	2	0	scaffold_3	172908	272908
Aspergillus_fumigatus_MO69250EXP	37	35	2	0	scaffold_1	3522301	3622301
Aspergillus_fumigatus_MO69250EXP	43	39	4	0	scaffold_7	1547430	1647430
Aspergillus_fumigatus_MO69250EXP	36	34	2	0	scaffold_3	2051468	2151468
Aspergillus_fumigatus_MO69250EXP	24	24	0	0	scaffold_3	1429271	1529271
Aspergillus_fumigatus_MO69250EXP	43	35	8	0	scaffold_4	317618	417618
Aspergillus_fumigatus_MO69250EXP	38	37	1	0	scaffold_4	2969109	3069109
Aspergillus_fumigatus_MO69250EXP	43	35	8	0	scaffold_5	3313857	3413857
Aspergillus_fumigatus_MO69250EXP	34	32	2	0	scaffold_6	2092094	2192094
Aspergillus_fumigatus_MO69250EXP	37	36	1	0	scaffold_4	2983487	3083487
Aspergillus_fumigatus_MO69250EXP	19	17	2	0	scaffold_8	746029	846029
Aspergillus_fumigatus_MO69250EXP	31	27	4	0	scaffold_8	714190	814190
Aspergillus_fumigatus_MO69250EXP	41	33	8	0	scaffold_2	177668	277668
Aspergillus_fumigatus_MO69250EXP	40	39	1	0	scaffold_1	2084411	2184411
Aspergillus_fumigatus_MO69250EXP	37	35	2	0	scaffold_1	1115480	1215480
Aspergillus_fumigatus_MO69250EXP	39	37	2	0	scaffold_6	2084757	2184757
Aspergillus_fumigatus_MO69250EXP	32	31	1	0	scaffold_3	1627789	1727789
Aspergillus_fumigatus_MO69250EXP	30	27	3	0	scaffold_6	2696250	2796250
Aspergillus_fumigatus_MO69250EXP	37	35	2	0	scaffold_1	3839446	3939446
Aspergillus_fumigatus_MO69250EXP	30	28	2	0	scaffold_3	2382721	2482721
Aspergillus_fumigatus_MO69250EXP	36	34	2	0	scaffold_1	535502	635502
Aspergillus_fumigatus_MO69250EXP	46	39	7	0	scaffold_7	360431	460431
Aspergillus_fumigatus_MO69250EXP	39	37	2	0	scaffold_2	2549583	2649583
Aspergillus_fumigatus_MO69250EXP	33	27	6	0	scaffold_7	111500	211500
Aspergillus_fumigatus_MO69250EXP	42	36	5	1	scaffold_7	250760	350760
Aspergillus_fumigatus_MO69250EXP	40	32	8	0	scaffold_2	4068366	4168366
Aspergillus_fumigatus_MO69250EXP	41	37	4	0	scaffold_2	4532915	4632915
Aspergillus_fumigatus_MO69250EXP	46	36	10	0	scaffold_2	3991797	4091797
Aspergillus_fumigatus_MO69250EXP	35	34	1	0	scaffold_5	1242900	1342900
Aspergillus_fumigatus_MO69250EXP	36	34	2	0	scaffold_1	536875	636875
Aspergillus_fumigatus_MO69250EXP	36	34	2	0	scaffold_2	2595025	2695025
Aspergillus_fumigatus_MO69250EXP	37	34	3	0	scaffold_1	1672489	1772489
Aspergillus_fumigatus_MO69250EXP	39	37	2	0	scaffold_6	1012267	1112267
Aspergillus_fumigatus_MO69250EXP	37	35	2	0	scaffold_4	1595571	1695571
Aspergillus_fumigatus_MO69250EXP	23	1	22	0	scaffold_1	38454	138454
Aspergillus_fumigatus_MO69250EXP	39	9	30	0	scaffold_3	1162887	1262887
Aspergillus_fumigatus_MO69250EXP	50	38	12	0	scaffold_5	136615	236615
Aspergillus_fumigatus_MO69250EXP	39	36	3	0	scaffold_1	1683845	1783845
Aspergillus_fumigatus_MO69250EXP	41	37	4	0	scaffold_6	2359658	2459658
