STRAIN	TOTAL	CORE	ACCESSORY	SINGLETON	CHROM	START	END
Aspergillus_fumigatus_CF098	35	32	3	0	scaffold_1	3125228	3225228
Aspergillus_fumigatus_CF098	33	32	1	0	scaffold_5	966272	1066272
Aspergillus_fumigatus_CF098	33	28	5	0	scaffold_3	2415478	2515478
Aspergillus_fumigatus_CF098	27	25	2	0	scaffold_3	1377197	1477197
Aspergillus_fumigatus_CF098	39	34	5	0	scaffold_3	1874007	1974007
Aspergillus_fumigatus_CF098	33	28	5	0	scaffold_2	3996035	4096035
Aspergillus_fumigatus_CF098	44	33	11	0	scaffold_2	4021223	4121223
Aspergillus_fumigatus_CF098	36	34	2	0	scaffold_5	3142286	3242286
Aspergillus_fumigatus_CF098	16	14	2	0	scaffold_2	1770574	1870574
Aspergillus_fumigatus_CF098	27	25	2	0	scaffold_6	2718544	2818544
Aspergillus_fumigatus_CF098	45	42	3	0	scaffold_1	4419048	4519048
Aspergillus_fumigatus_CF098	37	34	3	0	scaffold_1	3235977	3335977
Aspergillus_fumigatus_CF098	39	32	7	0	scaffold_6	573757	673757
Aspergillus_fumigatus_CF098	34	30	4	0	scaffold_4	1942119	2042119
Aspergillus_fumigatus_CF098	39	37	2	0	scaffold_1	2340618	2440618
Aspergillus_fumigatus_CF098	34	34	0	0	scaffold_1	665993	765993
Aspergillus_fumigatus_CF098	40	37	3	0	scaffold_1	3811603	3911603
Aspergillus_fumigatus_CF098	30	29	1	0	scaffold_2	1270166	1370166
Aspergillus_fumigatus_CF098	29	26	3	0	scaffold_4	3465983	3565983
Aspergillus_fumigatus_CF098	38	36	2	0	scaffold_6	3036285	3136285
Aspergillus_fumigatus_CF098	16	13	3	0	scaffold_8	812367	912367
Aspergillus_fumigatus_CF098	43	38	5	0	scaffold_5	1587107	1687107
Aspergillus_fumigatus_CF098	35	33	2	0	scaffold_3	2677591	2777591
Aspergillus_fumigatus_CF098	35	25	10	0	scaffold_5	2983306	3083306
Aspergillus_fumigatus_CF098	32	31	1	0	scaffold_4	1403319	1503319
Aspergillus_fumigatus_CF098	49	41	8	0	scaffold_7	1539765	1639765
Aspergillus_fumigatus_CF098	41	37	4	0	scaffold_2	4624461	4724461
Aspergillus_fumigatus_CF098	27	23	4	0	scaffold_2	1693642	1793642
Aspergillus_fumigatus_CF098	49	43	6	0	scaffold_2	4692319	4792319
Aspergillus_fumigatus_CF098	34	32	2	0	scaffold_7	961205	1061205
Aspergillus_fumigatus_CF098	36	30	6	0	scaffold_5	3062282	3162282
Aspergillus_fumigatus_CF098	36	34	2	0	scaffold_2	1167161	1267161
Aspergillus_fumigatus_CF098	42	38	4	0	scaffold_1	3738762	3838762
Aspergillus_fumigatus_CF098	20	12	8	0	scaffold_6	3462149	3562149
Aspergillus_fumigatus_CF098	42	37	5	0	scaffold_8	83200	183200
Aspergillus_fumigatus_CF098	40	40	0	0	scaffold_1	629483	729483
Aspergillus_fumigatus_CF098	43	38	5	0	scaffold_1	2998809	3098809
Aspergillus_fumigatus_CF098	36	34	2	0	scaffold_2	2525729	2625729
Aspergillus_fumigatus_CF098	44	42	2	0	scaffold_5	3564762	3664762
Aspergillus_fumigatus_CF098	35	30	5	0	scaffold_8	343748	443748
Aspergillus_fumigatus_CF098	32	29	3	0	scaffold_2	3369960	3469960
Aspergillus_fumigatus_CF098	47	45	2	0	scaffold_1	4453102	4553102
Aspergillus_fumigatus_CF098	38	32	6	0	scaffold_8	1575282	1675282
Aspergillus_fumigatus_CF098	30	28	2	0	scaffold_4	2999762	3099762
Aspergillus_fumigatus_CF098	38	36	1	1	scaffold_5	1987143	2087143
Aspergillus_fumigatus_CF098	36	33	3	0	scaffold_6	838523	938523
Aspergillus_fumigatus_CF098	35	35	0	0	scaffold_1	2770290	2870290
Aspergillus_fumigatus_CF098	33	28	5	0	scaffold_3	3320044	3420044
Aspergillus_fumigatus_CF098	38	35	3	0	scaffold_4	379437	479437
Aspergillus_fumigatus_CF098	42	37	5	0	scaffold_4	140983	240983
Aspergillus_fumigatus_CF098	42	38	4	0	scaffold_5	681014	781014
Aspergillus_fumigatus_CF098	41	39	2	0	scaffold_3	1598402	1698402
Aspergillus_fumigatus_CF098	38	32	6	0	scaffold_1	868925	968925
Aspergillus_fumigatus_CF098	40	38	2	0	scaffold_5	3611924	3711924
Aspergillus_fumigatus_CF098	48	39	9	0	scaffold_4	3744206	3844206
Aspergillus_fumigatus_CF098	32	30	2	0	scaffold_1	1128148	1228148
Aspergillus_fumigatus_CF098	34	33	1	0	scaffold_1	2816289	2916289
Aspergillus_fumigatus_CF098	33	31	2	0	scaffold_3	3202745	3302745
Aspergillus_fumigatus_CF098	37	35	2	0	scaffold_6	2438472	2538472
Aspergillus_fumigatus_CF098	39	34	5	0	scaffold_3	1873798	1973798
Aspergillus_fumigatus_CF098	39	38	1	0	scaffold_8	1060164	1160164
Aspergillus_fumigatus_CF098	41	35	6	0	scaffold_3	281180	381180
Aspergillus_fumigatus_CF098	39	32	7	0	scaffold_2	3232431	3332431
Aspergillus_fumigatus_CF098	41	31	10	0	scaffold_2	4013581	4113581
Aspergillus_fumigatus_CF098	31	30	1	0	scaffold_6	1993653	2093653
Aspergillus_fumigatus_CF098	43	43	0	0	scaffold_6	2858217	2958217
Aspergillus_fumigatus_CF098	41	37	4	0	scaffold_3	242151	342151
Aspergillus_fumigatus_CF098	27	26	1	0	scaffold_1	4115901	4215901
Aspergillus_fumigatus_CF098	39	37	2	0	scaffold_6	2251334	2351334
Aspergillus_fumigatus_CF098	42	38	4	0	scaffold_6	449338	549338
Aspergillus_fumigatus_CF098	38	36	2	0	scaffold_4	917286	1017286
Aspergillus_fumigatus_CF098	34	32	1	1	scaffold_2	3050859	3150859
Aspergillus_fumigatus_CF098	21	20	1	0	scaffold_8	732836	832836
Aspergillus_fumigatus_CF098	33	31	2	0	scaffold_3	1474979	1574979
Aspergillus_fumigatus_CF098	28	26	2	0	scaffold_2	2891771	2991771
Aspergillus_fumigatus_CF098	38	31	7	0	scaffold_5	2728899	2828899
Aspergillus_fumigatus_CF098	41	34	7	0	scaffold_6	292255	392255
Aspergillus_fumigatus_CF098	38	33	5	0	scaffold_4	3397038	3497038
Aspergillus_fumigatus_CF098	40	36	4	0	scaffold_8	254912	354912
Aspergillus_fumigatus_CF098	36	34	2	0	scaffold_1	979079	1079079
Aspergillus_fumigatus_CF098	39	37	2	0	scaffold_4	2847705	2947705
Aspergillus_fumigatus_CF098	21	1	20	0	scaffold_1	274017	374017
Aspergillus_fumigatus_CF098	32	1	31	0	scaffold_7	1982816	2082816
Aspergillus_fumigatus_CF098	37	37	0	0	scaffold_1	583364	683364
Aspergillus_fumigatus_CF098	27	23	4	0	scaffold_7	764924	864924
Aspergillus_fumigatus_CF098	31	27	4	0	scaffold_2	1138924	1238924
Aspergillus_fumigatus_CF098	35	33	2	0	scaffold_2	2974399	3074399
Aspergillus_fumigatus_CF098	13	0	13	0	scaffold_7	1743037	1843037
Aspergillus_fumigatus_CF098	39	39	0	0	scaffold_6	1260427	1360427
Aspergillus_fumigatus_CF098	41	38	3	0	scaffold_8	207319	307319
Aspergillus_fumigatus_CF098	46	41	5	0	scaffold_2	4659011	4759011
Aspergillus_fumigatus_CF098	39	31	8	0	scaffold_2	4005953	4105953
Aspergillus_fumigatus_CF098	37	35	2	0	scaffold_3	2101701	2201701
Aspergillus_fumigatus_CF098	30	28	2	0	scaffold_4	1522792	1622792
Aspergillus_fumigatus_CF098	36	31	5	0	scaffold_2	4582213	4682213
Aspergillus_fumigatus_CF098	35	28	7	0	scaffold_3	4034076	4134076
Aspergillus_fumigatus_CF098	41	40	1	0	scaffold_2	422513	522513
Aspergillus_fumigatus_CF098	40	33	7	0	scaffold_2	3227237	3327237
Aspergillus_fumigatus_CF098	40	39	1	0	scaffold_6	1696105	1796105
Aspergillus_fumigatus_CF098	28	25	3	0	scaffold_5	1493865	1593865
