STRAIN	TOTAL	CORE	ACCESSORY	SINGLETON	CHROM	START	END
Aspergillus_fumigatus_F4S1B	42	41	1	0	scaffold_2	1458002	1558002
Aspergillus_fumigatus_F4S1B	29	27	2	0	scaffold_6	1824270	1924270
Aspergillus_fumigatus_F4S1B	37	36	1	0	scaffold_4	3045252	3145252
Aspergillus_fumigatus_F4S1B	45	38	7	0	scaffold_3	304036	404036
Aspergillus_fumigatus_F4S1B	35	31	4	0	scaffold_2	3101044	3201044
Aspergillus_fumigatus_F4S1B	45	41	4	0	scaffold_7	139144	239144
Aspergillus_fumigatus_F4S1B	35	31	4	0	scaffold_6	364591	464591
Aspergillus_fumigatus_F4S1B	42	39	3	0	scaffold_3	2269614	2369614
Aspergillus_fumigatus_F4S1B	37	34	3	0	scaffold_3	2403182	2503182
Aspergillus_fumigatus_F4S1B	35	34	1	0	scaffold_4	2700729	2800729
Aspergillus_fumigatus_F4S1B	43	39	4	0	scaffold_3	1146738	1246738
Aspergillus_fumigatus_F4S1B	36	33	3	0	scaffold_4	1669270	1769270
Aspergillus_fumigatus_F4S1B	35	35	0	0	scaffold_1	503637	603637
Aspergillus_fumigatus_F4S1B	40	37	3	0	scaffold_2	1400303	1500303
Aspergillus_fumigatus_F4S1B	30	28	2	0	scaffold_2	4440399	4540399
Aspergillus_fumigatus_F4S1B	49	35	14	0	scaffold_6	5334	105334
Aspergillus_fumigatus_F4S1B	42	38	4	0	scaffold_3	3997005	4097005
Aspergillus_fumigatus_F4S1B	12	7	5	0	scaffold_6	2225817	2325817
Aspergillus_fumigatus_F4S1B	36	36	0	0	scaffold_5	2977068	3077068
Aspergillus_fumigatus_F4S1B	43	41	2	0	scaffold_2	1507309	1607309
Aspergillus_fumigatus_F4S1B	34	32	2	0	scaffold_1	3609420	3709420
Aspergillus_fumigatus_F4S1B	38	35	3	0	scaffold_5	3133832	3233832
Aspergillus_fumigatus_F4S1B	33	33	0	0	scaffold_8	1372368	1472368
Aspergillus_fumigatus_F4S1B	37	35	2	0	scaffold_5	1700649	1800649
Aspergillus_fumigatus_F4S1B	44	36	8	0	scaffold_5	544403	644403
Aspergillus_fumigatus_F4S1B	18	17	1	0	scaffold_3	1223558	1323558
Aspergillus_fumigatus_F4S1B	41	25	16	0	scaffold_5	474192	574192
Aspergillus_fumigatus_F4S1B	37	25	12	0	scaffold_4	3259209	3359209
Aspergillus_fumigatus_F4S1B	40	38	2	0	scaffold_2	2099627	2199627
Aspergillus_fumigatus_F4S1B	40	36	4	0	scaffold_2	4051260	4151260
Aspergillus_fumigatus_F4S1B	32	31	0	1	scaffold_3	3413502	3513502
Aspergillus_fumigatus_F4S1B	41	39	2	0	scaffold_5	1869863	1969863
Aspergillus_fumigatus_F4S1B	37	35	2	0	scaffold_5	1542019	1642019
Aspergillus_fumigatus_F4S1B	19	17	2	0	scaffold_7	741067	841067
Aspergillus_fumigatus_F4S1B	40	37	3	0	scaffold_2	2222799	2322799
Aspergillus_fumigatus_F4S1B	40	36	4	0	scaffold_3	3108626	3208626
Aspergillus_fumigatus_F4S1B	43	38	5	0	scaffold_7	112006	212006
Aspergillus_fumigatus_F4S1B	34	32	2	0	scaffold_5	1477332	1577332
Aspergillus_fumigatus_F4S1B	17	17	0	0	scaffold_8	653027	753027
Aspergillus_fumigatus_F4S1B	51	46	5	0	scaffold_2	59405	159405
Aspergillus_fumigatus_F4S1B	42	40	2	0	scaffold_6	618000	718000
Aspergillus_fumigatus_F4S1B	37	33	4	0	scaffold_2	1218174	1318174
Aspergillus_fumigatus_F4S1B	35	33	2	0	scaffold_1	856729	956729
Aspergillus_fumigatus_F4S1B	37	34	3	0	scaffold_5	892048	992048
Aspergillus_fumigatus_F4S1B	38	34	4	0	scaffold_1	3075316	3175316
Aspergillus_fumigatus_F4S1B	37	34	3	0	scaffold_2	4238104	4338104
Aspergillus_fumigatus_F4S1B	33	31	2	0	scaffold_3	1432239	1532239
Aspergillus_fumigatus_F4S1B	33	31	2	0	scaffold_3	1381158	1481158
Aspergillus_fumigatus_F4S1B	32	3	29	0	scaffold_3	642104	742104
Aspergillus_fumigatus_F4S1B	40	36	4	0	scaffold_2	1365788	1465788
Aspergillus_fumigatus_F4S1B	31	29	2	0	scaffold_3	1390454	1490454
Aspergillus_fumigatus_F4S1B	39	35	4	0	scaffold_7	244423	344423
Aspergillus_fumigatus_F4S1B	35	32	3	0	scaffold_3	2597384	2697384
Aspergillus_fumigatus_F4S1B	36	34	2	0	scaffold_7	1183034	1283034
Aspergillus_fumigatus_F4S1B	35	30	5	0	scaffold_8	351095	451095
Aspergillus_fumigatus_F4S1B	28	20	8	0	scaffold_6	204020	304020
Aspergillus_fumigatus_F4S1B	38	33	5	0	scaffold_2	3145427	3245427
Aspergillus_fumigatus_F4S1B	44	42	2	0	scaffold_3	2315937	2415937
Aspergillus_fumigatus_F4S1B	39	38	1	0	scaffold_4	487245	587245
Aspergillus_fumigatus_F4S1B	34	29	5	0	scaffold_5	2369895	2469895
Aspergillus_fumigatus_F4S1B	31	29	2	0	scaffold_1	1862526	1962526
Aspergillus_fumigatus_F4S1B	36	33	3	0	scaffold_4	1673180	1773180
Aspergillus_fumigatus_F4S1B	41	33	8	0	scaffold_4	2458212	2558212
Aspergillus_fumigatus_F4S1B	33	31	2	0	scaffold_1	1281436	1381436
Aspergillus_fumigatus_F4S1B	41	36	5	0	scaffold_6	2432317	2532317
Aspergillus_fumigatus_F4S1B	30	26	4	0	scaffold_4	3727605	3827605
Aspergillus_fumigatus_F4S1B	36	35	1	0	scaffold_2	3400107	3500107
Aspergillus_fumigatus_F4S1B	36	34	2	0	scaffold_1	2418805	2518805
Aspergillus_fumigatus_F4S1B	37	32	5	0	scaffold_6	3406805	3506805
Aspergillus_fumigatus_F4S1B	41	36	5	0	scaffold_2	407487	507487
Aspergillus_fumigatus_F4S1B	37	27	10	0	scaffold_6	2873055	2973055
Aspergillus_fumigatus_F4S1B	34	31	3	0	scaffold_1	1210293	1310293
Aspergillus_fumigatus_F4S1B	22	18	4	0	scaffold_5	3487457	3587457
Aspergillus_fumigatus_F4S1B	34	30	4	0	scaffold_1	3918563	4018563
Aspergillus_fumigatus_F4S1B	41	37	4	0	scaffold_2	3197707	3297707
Aspergillus_fumigatus_F4S1B	32	30	2	0	scaffold_3	2780914	2880914
Aspergillus_fumigatus_F4S1B	41	39	2	0	scaffold_4	253947	353947
Aspergillus_fumigatus_F4S1B	38	35	3	0	scaffold_7	1578082	1678082
Aspergillus_fumigatus_F4S1B	33	26	7	0	scaffold_1	3415259	3515259
Aspergillus_fumigatus_F4S1B	35	33	2	0	scaffold_1	783382	883382
Aspergillus_fumigatus_F4S1B	31	26	5	0	scaffold_3	806931	906931
Aspergillus_fumigatus_F4S1B	31	29	2	0	scaffold_2	1032641	1132641
Aspergillus_fumigatus_F4S1B	42	36	6	0	scaffold_8	1455238	1555238
Aspergillus_fumigatus_F4S1B	37	35	2	0	scaffold_4	2286600	2386600
Aspergillus_fumigatus_F4S1B	37	35	2	0	scaffold_3	851356	951356
Aspergillus_fumigatus_F4S1B	50	37	13	0	scaffold_1	20278	120278
Aspergillus_fumigatus_F4S1B	28	24	4	0	scaffold_2	4480344	4580344
Aspergillus_fumigatus_F4S1B	34	31	3	0	scaffold_5	204473	304473
Aspergillus_fumigatus_F4S1B	33	31	2	0	scaffold_2	3767763	3867763
Aspergillus_fumigatus_F4S1B	30	22	8	0	scaffold_4	3234977	3334977
Aspergillus_fumigatus_F4S1B	37	34	3	0	scaffold_2	1650028	1750028
Aspergillus_fumigatus_F4S1B	30	29	1	0	scaffold_3	1354867	1454867
Aspergillus_fumigatus_F4S1B	27	11	16	0	scaffold_5	433561	533561
Aspergillus_fumigatus_F4S1B	33	30	3	0	scaffold_8	556218	656218
Aspergillus_fumigatus_F4S1B	35	32	3	0	scaffold_3	2572618	2672618
Aspergillus_fumigatus_F4S1B	33	30	3	0	scaffold_3	1312050	1412050
Aspergillus_fumigatus_F4S1B	37	32	5	0	scaffold_2	593062	693062
Aspergillus_fumigatus_F4S1B	38	34	4	0	scaffold_1	2229623	2329623
Aspergillus_fumigatus_F4S1B	33	32	1	0	scaffold_5	3161082	3261082
Aspergillus_fumigatus_F4S1B	38	37	1	0	scaffold_4	2577958	2677958
Aspergillus_fumigatus_F4S1B	33	31	2	0	scaffold_2	3697030	3797030
Aspergillus_fumigatus_F4S1B	37	35	2	0	scaffold_5	3068147	3168147
Aspergillus_fumigatus_F4S1B	42	27	14	1	scaffold_5	2211665	2311665
Aspergillus_fumigatus_F4S1B	8	6	2	0	scaffold_4	3774116	3874116
Aspergillus_fumigatus_F4S1B	42	41	1	0	scaffold_5	2871702	2971702
Aspergillus_fumigatus_F4S1B	20	19	1	0	scaffold_4	1162104	1262104
Aspergillus_fumigatus_F4S1B	34	32	2	0	scaffold_4	2671973	2771973
Aspergillus_fumigatus_F4S1B	40	37	2	1	scaffold_2	3936442	4036442
Aspergillus_fumigatus_F4S1B	31	30	1	0	scaffold_2	990134	1090134
Aspergillus_fumigatus_F4S1B	39	39	0	0	scaffold_2	243259	343259
Aspergillus_fumigatus_F4S1B	38	36	2	0	scaffold_8	164597	264597
Aspergillus_fumigatus_F4S1B	41	33	8	0	scaffold_4	21083	121083
Aspergillus_fumigatus_F4S1B	46	36	10	0	scaffold_2	5681	105681
Aspergillus_fumigatus_F4S1B	48	43	5	0	scaffold_7	1413511	1513511
Aspergillus_fumigatus_F4S1B	31	30	1	0	scaffold_3	1341380	1441380
Aspergillus_fumigatus_F4S1B	33	32	1	0	scaffold_6	1769685	1869685
Aspergillus_fumigatus_F4S1B	36	32	4	0	scaffold_6	2989411	3089411
Aspergillus_fumigatus_F4S1B	28	11	17	0	scaffold_5	412713	512713
Aspergillus_fumigatus_F4S1B	37	37	0	0	scaffold_3	1799745	1899745
Aspergillus_fumigatus_F4S1B	40	35	5	0	scaffold_8	436501	536501
Aspergillus_fumigatus_F4S1B	54	50	4	0	scaffold_3	3963246	4063246
Aspergillus_fumigatus_F4S1B	40	37	3	0	scaffold_2	3227536	3327536
Aspergillus_fumigatus_F4S1B	43	38	5	0	scaffold_6	1152383	1252383
Aspergillus_fumigatus_F4S1B	36	36	0	0	scaffold_4	503323	603323
Aspergillus_fumigatus_F4S1B	39	37	2	0	scaffold_5	2509961	2609961
Aspergillus_fumigatus_F4S1B	37	34	2	1	scaffold_3	3455591	3555591
Aspergillus_fumigatus_F4S1B	37	36	1	0	scaffold_4	3055656	3155656
Aspergillus_fumigatus_F4S1B	45	44	1	0	scaffold_3	1599827	1699827
Aspergillus_fumigatus_F4S1B	21	18	3	0	scaffold_3	1009191	1109191
Aspergillus_fumigatus_F4S1B	43	38	5	0	scaffold_2	2637040	2737040
Aspergillus_fumigatus_F4S1B	38	34	4	0	scaffold_3	1131453	1231453
Aspergillus_fumigatus_F4S1B	34	31	3	0	scaffold_1	216098	316098
Aspergillus_fumigatus_F4S1B	29	27	2	0	scaffold_5	1452736	1552736
Aspergillus_fumigatus_F4S1B	37	36	1	0	scaffold_4	3076344	3176344
Aspergillus_fumigatus_F4S1B	33	28	5	0	scaffold_1	4391957	4491957
Aspergillus_fumigatus_F4S1B	43	37	6	0	scaffold_3	319675	419675
Aspergillus_fumigatus_F4S1B	40	36	4	0	scaffold_3	4002047	4102047
Aspergillus_fumigatus_F4S1B	40	40	0	0	scaffold_5	1817355	1917355
Aspergillus_fumigatus_F4S1B	34	31	3	0	scaffold_7	542034	642034
Aspergillus_fumigatus_F4S1B	40	38	2	0	scaffold_3	125651	225651
Aspergillus_fumigatus_F4S1B	31	30	1	0	scaffold_1	1472739	1572739
Aspergillus_fumigatus_F4S1B	41	37	4	0	scaffold_2	1379240	1479240
Aspergillus_fumigatus_F4S1B	37	37	0	0	scaffold_8	906315	1006315
Aspergillus_fumigatus_F4S1B	38	35	3	0	scaffold_4	1737284	1837284
Aspergillus_fumigatus_F4S1B	29	25	4	0	scaffold_3	3697231	3797231
Aspergillus_fumigatus_F4S1B	35	30	5	0	scaffold_8	359069	459069
Aspergillus_fumigatus_F4S1B	33	27	6	0	scaffold_3	1735389	1835389
Aspergillus_fumigatus_F4S1B	29	27	2	0	scaffold_1	1412748	1512748
Aspergillus_fumigatus_F4S1B	32	32	0	0	scaffold_3	2995748	3095748
Aspergillus_fumigatus_F4S1B	35	33	2	0	scaffold_6	3587820	3687820
Aspergillus_fumigatus_F4S1B	38	35	3	0	scaffold_6	819167	919167
Aspergillus_fumigatus_F4S1B	45	39	6	0	scaffold_8	1542978	1642978
Aspergillus_fumigatus_F4S1B	37	30	7	0	scaffold_1	3480366	3580366
Aspergillus_fumigatus_F4S1B	34	32	2	0	scaffold_1	2649633	2749633
Aspergillus_fumigatus_F4S1B	31	25	6	0	scaffold_1	1034295	1134295
Aspergillus_fumigatus_F4S1B	38	35	3	0	scaffold_6	851017	951017
Aspergillus_fumigatus_F4S1B	36	34	2	0	scaffold_6	2099010	2199010
Aspergillus_fumigatus_F4S1B	39	38	1	0	scaffold_6	738413	838413
