STRAIN	TOTAL	CORE	ACCESSORY	SINGLETON	CHROM	START	END
Aspergillus_fumigatus_AF100-11C	18	18	0	0	scaffold_2	1117164	1167164
Aspergillus_fumigatus_AF100-11C	14	13	1	0	scaffold_5	166798	216798
Aspergillus_fumigatus_AF100-11C	28	26	2	0	scaffold_3	3958488	4008488
Aspergillus_fumigatus_AF100-11C	22	21	1	0	scaffold_2	4308515	4358515
Aspergillus_fumigatus_AF100-11C	21	19	2	0	scaffold_3	3534642	3584642
Aspergillus_fumigatus_AF100-11C	14	14	0	0	scaffold_2	4547328	4597328
Aspergillus_fumigatus_AF100-11C	20	19	1	0	scaffold_5	928237	978237
Aspergillus_fumigatus_AF100-11C	19	19	0	0	scaffold_6	1375256	1425256
Aspergillus_fumigatus_AF100-11C	15	12	3	0	scaffold_6	1493699	1543699
Aspergillus_fumigatus_AF100-11C	0	0	0	0	scaffold_2	4201527	4251527
Aspergillus_fumigatus_AF100-11C	2	2	0	0	scaffold_5	3713392	3763392
Aspergillus_fumigatus_AF100-11C	21	18	3	0	scaffold_3	295373	345373
Aspergillus_fumigatus_AF100-11C	16	15	1	0	scaffold_4	1572461	1622461
Aspergillus_fumigatus_AF100-11C	20	20	0	0	scaffold_2	1601138	1651138
Aspergillus_fumigatus_AF100-11C	19	18	1	0	scaffold_1	2687289	2737289
Aspergillus_fumigatus_AF100-11C	16	14	2	0	scaffold_8	759198	809198
Aspergillus_fumigatus_AF100-11C	20	18	2	0	scaffold_1	3280190	3330190
Aspergillus_fumigatus_AF100-11C	20	20	0	0	scaffold_1	560435	610435
Aspergillus_fumigatus_AF100-11C	21	20	1	0	scaffold_3	3546071	3596071
Aspergillus_fumigatus_AF100-11C	17	0	17	0	scaffold_1	4323462	4373462
Aspergillus_fumigatus_AF100-11C	13	10	3	0	scaffold_3	3311563	3361563
Aspergillus_fumigatus_AF100-11C	19	13	6	0	scaffold_2	727603	777603
Aspergillus_fumigatus_AF100-11C	17	17	0	0	scaffold_4	1124861	1174861
Aspergillus_fumigatus_AF100-11C	20	19	1	0	scaffold_2	1755842	1805842
Aspergillus_fumigatus_AF100-11C	23	21	2	0	scaffold_7	176665	226665
Aspergillus_fumigatus_AF100-11C	12	12	0	0	scaffold_1	1267875	1317875
Aspergillus_fumigatus_AF100-11C	0	0	0	0	scaffold_2	2017609	2067609
Aspergillus_fumigatus_AF100-11C	20	18	2	0	scaffold_2	2906738	2956738
Aspergillus_fumigatus_AF100-11C	16	16	0	0	scaffold_2	4029883	4079883
Aspergillus_fumigatus_AF100-11C	13	13	0	0	scaffold_3	1344755	1394755
Aspergillus_fumigatus_AF100-11C	11	11	0	0	scaffold_2	4234970	4284970
Aspergillus_fumigatus_AF100-11C	17	17	0	0	scaffold_3	1432615	1482615
Aspergillus_fumigatus_AF100-11C	16	16	0	0	scaffold_2	820193	870193
Aspergillus_fumigatus_AF100-11C	19	18	1	0	scaffold_1	2594473	2644473
Aspergillus_fumigatus_AF100-11C	18	18	0	0	scaffold_4	1108032	1158032
Aspergillus_fumigatus_AF100-11C	20	18	2	0	scaffold_1	2101317	2151317
Aspergillus_fumigatus_AF100-11C	20	18	2	0	scaffold_2	777177	827177
Aspergillus_fumigatus_AF100-11C	18	18	0	0	scaffold_6	1388250	1438250
Aspergillus_fumigatus_AF100-11C	20	20	0	0	scaffold_6	3133501	3183501
Aspergillus_fumigatus_AF100-11C	21	21	0	0	scaffold_2	1598102	1648102
Aspergillus_fumigatus_AF100-11C	14	14	0	0	scaffold_2	3913247	3963247
Aspergillus_fumigatus_AF100-11C	18	16	1	1	scaffold_4	3465889	3515889
Aspergillus_fumigatus_AF100-11C	19	18	1	0	scaffold_5	2029016	2079016
Aspergillus_fumigatus_AF100-11C	17	17	0	0	scaffold_1	2306534	2356534
Aspergillus_fumigatus_AF100-11C	17	17	0	0	scaffold_3	1440280	1490280
Aspergillus_fumigatus_AF100-11C	19	19	0	0	scaffold_4	3168551	3218551
Aspergillus_fumigatus_AF100-11C	19	17	2	0	scaffold_7	334674	384674
Aspergillus_fumigatus_AF100-11C	16	0	16	0	scaffold_3	627997	677997
Aspergillus_fumigatus_AF100-11C	15	14	1	0	scaffold_5	458546	508546
Aspergillus_fumigatus_AF100-11C	19	17	2	0	scaffold_1	2565943	2615943
Aspergillus_fumigatus_AF100-11C	21	20	1	0	scaffold_7	1354800	1404800
Aspergillus_fumigatus_AF100-11C	5	0	5	0	scaffold_4	3892175	3942175
Aspergillus_fumigatus_AF100-11C	19	17	2	0	scaffold_2	1830782	1880782
Aspergillus_fumigatus_AF100-11C	17	15	2	0	scaffold_4	3112927	3162927
Aspergillus_fumigatus_AF100-11C	21	19	2	0	scaffold_5	842055	892055
Aspergillus_fumigatus_AF100-11C	20	18	2	0	scaffold_8	533117	583117
Aspergillus_fumigatus_AF100-11C	28	20	8	0	scaffold_1	4067723	4117723
Aspergillus_fumigatus_AF100-11C	23	22	1	0	scaffold_4	1017659	1067659
Aspergillus_fumigatus_AF100-11C	21	19	2	0	scaffold_5	945058	995058
Aspergillus_fumigatus_AF100-11C	19	19	0	0	scaffold_3	2927513	2977513
Aspergillus_fumigatus_AF100-11C	18	17	1	0	scaffold_4	1781858	1831858
Aspergillus_fumigatus_AF100-11C	20	18	2	0	scaffold_3	699924	749924
Aspergillus_fumigatus_AF100-11C	12	12	0	0	scaffold_3	1338561	1388561
Aspergillus_fumigatus_AF100-11C	17	16	1	0	scaffold_7	1323212	1373212
Aspergillus_fumigatus_AF100-11C	8	8	0	0	scaffold_1	1867070	1917070
Aspergillus_fumigatus_AF100-11C	23	17	6	0	scaffold_5	349468	399468
Aspergillus_fumigatus_AF100-11C	19	18	1	0	scaffold_2	1926432	1976432
Aspergillus_fumigatus_AF100-11C	19	16	3	0	scaffold_6	1195435	1245435
Aspergillus_fumigatus_AF100-11C	20	18	2	0	scaffold_2	4107756	4157756
Aspergillus_fumigatus_AF100-11C	22	22	0	0	scaffold_3	869777	919777
Aspergillus_fumigatus_AF100-11C	18	13	5	0	scaffold_1	3491511	3541511
Aspergillus_fumigatus_AF100-11C	23	22	1	0	scaffold_3	1095138	1145138
Aspergillus_fumigatus_AF100-11C	20	17	3	0	scaffold_8	351475	401475
Aspergillus_fumigatus_AF100-11C	22	20	2	0	scaffold_3	864083	914083
Aspergillus_fumigatus_AF100-11C	13	13	0	0	scaffold_4	3068622	3118622
Aspergillus_fumigatus_AF100-11C	16	14	2	0	scaffold_4	2102814	2152814
Aspergillus_fumigatus_AF100-11C	17	16	1	0	scaffold_2	891995	941995
Aspergillus_fumigatus_AF100-11C	18	18	0	0	scaffold_2	2507149	2557149
Aspergillus_fumigatus_AF100-11C	24	0	24	0	scaffold_1	4397750	4447750
Aspergillus_fumigatus_AF100-11C	20	18	2	0	scaffold_1	2586581	2636581
Aspergillus_fumigatus_AF100-11C	17	16	1	0	scaffold_3	1400314	1450314
Aspergillus_fumigatus_AF100-11C	24	17	7	0	scaffold_1	63305	113305
Aspergillus_fumigatus_AF100-11C	17	14	3	0	scaffold_2	533094	583094
Aspergillus_fumigatus_AF100-11C	22	22	0	0	scaffold_2	1697155	1747155
Aspergillus_fumigatus_AF100-11C	20	19	1	0	scaffold_5	928948	978948
Aspergillus_fumigatus_AF100-11C	29	21	8	0	scaffold_1	4045431	4095431
Aspergillus_fumigatus_AF100-11C	17	15	2	0	scaffold_7	284447	334447
Aspergillus_fumigatus_AF100-11C	14	13	1	0	scaffold_6	1806119	1856119
Aspergillus_fumigatus_AF100-11C	19	18	1	0	scaffold_5	934759	984759
Aspergillus_fumigatus_AF100-11C	16	16	0	0	scaffold_2	4023618	4073618
Aspergillus_fumigatus_AF100-11C	20	19	1	0	scaffold_2	661354	711354
Aspergillus_fumigatus_AF100-11C	0	0	0	0	scaffold_4	3713013	3763013
Aspergillus_fumigatus_AF100-11C	12	10	2	0	scaffold_2	2058669	2108669
Aspergillus_fumigatus_AF100-11C	26	23	3	0	scaffold_4	3832072	3882072
Aspergillus_fumigatus_AF100-11C	15	14	1	0	scaffold_4	2046552	2096552
Aspergillus_fumigatus_AF100-11C	15	15	0	0	scaffold_6	364902	414902
Aspergillus_fumigatus_AF100-11C	17	10	7	0	scaffold_1	4466655	4516655
Aspergillus_fumigatus_AF100-11C	16	14	2	0	scaffold_4	3769971	3819971
Aspergillus_fumigatus_AF100-11C	1	1	0	0	scaffold_5	3676167	3726167
Aspergillus_fumigatus_AF100-11C	20	19	1	0	scaffold_6	919747	969747
Aspergillus_fumigatus_AF100-11C	15	15	0	0	scaffold_5	3138150	3188150
Aspergillus_fumigatus_AF100-11C	15	0	15	0	scaffold_1	4307450	4357450
Aspergillus_fumigatus_AF100-11C	23	20	3	0	scaffold_3	2325813	2375813
Aspergillus_fumigatus_AF100-11C	24	22	2	0	scaffold_3	3850375	3900375
Aspergillus_fumigatus_AF100-11C	18	7	11	0	scaffold_6	2074	52074
Aspergillus_fumigatus_AF100-11C	23	21	2	0	scaffold_1	2126564	2176564
Aspergillus_fumigatus_AF100-11C	19	14	5	0	scaffold_6	2674243	2724243
Aspergillus_fumigatus_AF100-11C	13	13	0	0	scaffold_5	2214297	2264297
Aspergillus_fumigatus_AF100-11C	19	17	2	0	scaffold_7	987583	1037583
Aspergillus_fumigatus_AF100-11C	12	9	3	0	scaffold_3	3754597	3804597
Aspergillus_fumigatus_AF100-11C	17	16	1	0	scaffold_3	3185500	3235500
Aspergillus_fumigatus_AF100-11C	21	18	3	0	scaffold_5	554329	604329
Aspergillus_fumigatus_AF100-11C	15	15	0	0	scaffold_8	640116	690116
Aspergillus_fumigatus_AF100-11C	19	18	1	0	scaffold_6	957378	1007378
Aspergillus_fumigatus_AF100-11C	21	15	6	0	scaffold_1	189049	239049
Aspergillus_fumigatus_AF100-11C	23	20	3	0	scaffold_2	1076402	1126402
Aspergillus_fumigatus_AF100-11C	20	18	2	0	scaffold_1	2101041	2151041
Aspergillus_fumigatus_AF100-11C	12	7	5	0	scaffold_4	3325553	3375553
Aspergillus_fumigatus_AF100-11C	16	12	4	0	scaffold_1	1682428	1732428
Aspergillus_fumigatus_AF100-11C	21	16	5	0	scaffold_3	4013882	4063882
Aspergillus_fumigatus_AF100-11C	19	19	0	0	scaffold_4	2226322	2276322
