STRAIN	TOTAL	CORE	ACCESSORY	SINGLETON	CHROM	START	END
Aspergillus_fumigatus_AZTEC_13_751	13	13	0	0	scaffold_6	370960	420960
Aspergillus_fumigatus_AZTEC_13_751	22	20	2	0	scaffold_5	41220	91220
Aspergillus_fumigatus_AZTEC_13_751	31	27	4	0	scaffold_5	3422966	3472966
Aspergillus_fumigatus_AZTEC_13_751	16	15	1	0	scaffold_1	2092026	2142026
Aspergillus_fumigatus_AZTEC_13_751	15	13	2	0	scaffold_1	273976	323976
Aspergillus_fumigatus_AZTEC_13_751	17	16	1	0	scaffold_4	1874301	1924301
Aspergillus_fumigatus_AZTEC_13_751	8	7	1	0	scaffold_8	649661	699661
Aspergillus_fumigatus_AZTEC_13_751	22	20	2	0	scaffold_6	3461819	3511819
Aspergillus_fumigatus_AZTEC_13_751	21	20	1	0	scaffold_6	594595	644595
Aspergillus_fumigatus_AZTEC_13_751	24	23	1	0	scaffold_8	1599903	1649903
Aspergillus_fumigatus_AZTEC_13_751	17	16	1	0	scaffold_5	1712294	1762294
Aspergillus_fumigatus_AZTEC_13_751	20	17	3	0	scaffold_2	1519196	1569196
Aspergillus_fumigatus_AZTEC_13_751	19	17	2	0	scaffold_5	1237494	1287494
Aspergillus_fumigatus_AZTEC_13_751	16	15	1	0	scaffold_4	1422906	1472906
Aspergillus_fumigatus_AZTEC_13_751	18	16	2	0	scaffold_6	761449	811449
Aspergillus_fumigatus_AZTEC_13_751	27	23	4	0	scaffold_8	1565375	1615375
Aspergillus_fumigatus_AZTEC_13_751	16	16	0	0	scaffold_1	852740	902740
Aspergillus_fumigatus_AZTEC_13_751	20	16	4	0	scaffold_1	1786828	1836828
Aspergillus_fumigatus_AZTEC_13_751	23	21	2	0	scaffold_6	3482095	3532095
Aspergillus_fumigatus_AZTEC_13_751	20	19	1	0	scaffold_1	3199270	3249270
Aspergillus_fumigatus_AZTEC_13_751	26	25	1	0	scaffold_3	178255	228255
Aspergillus_fumigatus_AZTEC_13_751	21	18	2	1	scaffold_3	1121001	1171001
Aspergillus_fumigatus_AZTEC_13_751	18	17	1	0	scaffold_5	1934651	1984651
Aspergillus_fumigatus_AZTEC_13_751	23	19	4	0	scaffold_6	699111	749111
Aspergillus_fumigatus_AZTEC_13_751	20	17	3	0	scaffold_6	1175015	1225015
Aspergillus_fumigatus_AZTEC_13_751	5	4	1	0	scaffold_7	782222	832222
Aspergillus_fumigatus_AZTEC_13_751	24	20	4	0	scaffold_6	1973546	2023546
Aspergillus_fumigatus_AZTEC_13_751	16	16	0	0	scaffold_5	3031189	3081189
Aspergillus_fumigatus_AZTEC_13_751	15	13	2	0	scaffold_6	1789548	1839548
Aspergillus_fumigatus_AZTEC_13_751	17	15	2	0	scaffold_1	3120077	3170077
Aspergillus_fumigatus_AZTEC_13_751	21	19	2	0	scaffold_4	293194	343194
Aspergillus_fumigatus_AZTEC_13_751	18	16	2	0	scaffold_7	687727	737727
Aspergillus_fumigatus_AZTEC_13_751	22	21	1	0	scaffold_4	3133265	3183265
Aspergillus_fumigatus_AZTEC_13_751	19	17	2	0	scaffold_6	1759851	1809851
Aspergillus_fumigatus_AZTEC_13_751	15	15	0	0	scaffold_1	3101315	3151315
Aspergillus_fumigatus_AZTEC_13_751	16	16	0	0	scaffold_4	3080455	3130455
Aspergillus_fumigatus_AZTEC_13_751	21	20	1	0	scaffold_1	329033	379033
Aspergillus_fumigatus_AZTEC_13_751	25	21	4	0	scaffold_6	85284	135284
Aspergillus_fumigatus_AZTEC_13_751	17	14	3	0	scaffold_1	4227575	4277575
Aspergillus_fumigatus_AZTEC_13_751	16	16	0	0	scaffold_1	707632	757632
Aspergillus_fumigatus_AZTEC_13_751	17	16	1	0	scaffold_2	3462602	3512602
Aspergillus_fumigatus_AZTEC_13_751	18	16	2	0	scaffold_5	1455446	1505446
Aspergillus_fumigatus_AZTEC_13_751	20	19	1	0	scaffold_5	1896218	1946218
Aspergillus_fumigatus_AZTEC_13_751	24	20	4	0	scaffold_8	1158951	1208951
Aspergillus_fumigatus_AZTEC_13_751	19	18	1	0	scaffold_1	2621879	2671879
Aspergillus_fumigatus_AZTEC_13_751	17	14	3	0	scaffold_5	2580971	2630971
Aspergillus_fumigatus_AZTEC_13_751	21	19	2	0	scaffold_3	433502	483502
Aspergillus_fumigatus_AZTEC_13_751	18	18	0	0	scaffold_1	1092026	1142026
Aspergillus_fumigatus_AZTEC_13_751	16	16	0	0	scaffold_1	4059024	4109024
Aspergillus_fumigatus_AZTEC_13_751	20	19	1	0	scaffold_6	3579890	3629890
Aspergillus_fumigatus_AZTEC_13_751	18	15	3	0	scaffold_4	2458895	2508895
Aspergillus_fumigatus_AZTEC_13_751	18	16	2	0	scaffold_4	1379720	1429720
Aspergillus_fumigatus_AZTEC_13_751	17	17	0	0	scaffold_2	4100772	4150772
Aspergillus_fumigatus_AZTEC_13_751	19	17	2	0	scaffold_2	1146683	1196683
Aspergillus_fumigatus_AZTEC_13_751	20	19	1	0	scaffold_7	155177	205177
Aspergillus_fumigatus_AZTEC_13_751	20	18	2	0	scaffold_3	2024193	2074193
Aspergillus_fumigatus_AZTEC_13_751	17	14	3	0	scaffold_2	4355694	4405694
Aspergillus_fumigatus_AZTEC_13_751	24	21	3	0	scaffold_3	2051401	2101401
Aspergillus_fumigatus_AZTEC_13_751	23	20	3	0	scaffold_4	161532	211532
Aspergillus_fumigatus_AZTEC_13_751	22	19	3	0	scaffold_3	3199417	3249417
Aspergillus_fumigatus_AZTEC_13_751	19	16	3	0	scaffold_2	282886	332886
Aspergillus_fumigatus_AZTEC_13_751	22	20	2	0	scaffold_7	203865	253865
Aspergillus_fumigatus_AZTEC_13_751	21	21	0	0	scaffold_5	1792677	1842677
Aspergillus_fumigatus_AZTEC_13_751	29	20	8	1	scaffold_8	236324	286324
Aspergillus_fumigatus_AZTEC_13_751	21	17	4	0	scaffold_2	4263196	4313196
Aspergillus_fumigatus_AZTEC_13_751	10	10	0	0	scaffold_1	2765772	2815772
Aspergillus_fumigatus_AZTEC_13_751	21	18	3	0	scaffold_6	2604538	2654538
Aspergillus_fumigatus_AZTEC_13_751	9	6	3	0	scaffold_1	2235854	2285854
Aspergillus_fumigatus_AZTEC_13_751	21	19	2	0	scaffold_5	3464817	3514817
Aspergillus_fumigatus_AZTEC_13_751	18	17	1	0	scaffold_5	2878637	2928637
Aspergillus_fumigatus_AZTEC_13_751	0	0	0	0	scaffold_4	3817581	3867581
Aspergillus_fumigatus_AZTEC_13_751	19	18	1	0	scaffold_5	1953660	2003660
Aspergillus_fumigatus_AZTEC_13_751	19	17	2	0	scaffold_1	3209142	3259142
Aspergillus_fumigatus_AZTEC_13_751	27	25	2	0	scaffold_5	658288	708288
Aspergillus_fumigatus_AZTEC_13_751	18	18	0	0	scaffold_4	2077817	2127817
Aspergillus_fumigatus_AZTEC_13_751	0	0	0	0	scaffold_4	1601971	1651971
Aspergillus_fumigatus_AZTEC_13_751	20	19	1	0	scaffold_4	1793383	1843383
Aspergillus_fumigatus_AZTEC_13_751	16	16	0	0	scaffold_3	2797316	2847316
Aspergillus_fumigatus_AZTEC_13_751	20	18	2	0	scaffold_3	75856	125856
Aspergillus_fumigatus_AZTEC_13_751	16	16	0	0	scaffold_2	3179837	3229837
Aspergillus_fumigatus_AZTEC_13_751	11	8	3	0	scaffold_1	2246204	2296204
Aspergillus_fumigatus_AZTEC_13_751	0	0	0	0	scaffold_4	3861361	3911361
Aspergillus_fumigatus_AZTEC_13_751	22	20	2	0	scaffold_7	1047801	1097801
Aspergillus_fumigatus_AZTEC_13_751	18	17	1	0	scaffold_6	349287	399287
Aspergillus_fumigatus_AZTEC_13_751	8	8	0	0	scaffold_6	199469	249469
Aspergillus_fumigatus_AZTEC_13_751	12	9	3	0	scaffold_6	1448831	1498831
Aspergillus_fumigatus_AZTEC_13_751	23	22	1	0	scaffold_3	573719	623719
Aspergillus_fumigatus_AZTEC_13_751	0	0	0	0	scaffold_5	1127646	1177646
Aspergillus_fumigatus_AZTEC_13_751	17	16	1	0	scaffold_7	840153	890153
Aspergillus_fumigatus_AZTEC_13_751	16	16	0	0	scaffold_1	2919356	2969356
Aspergillus_fumigatus_AZTEC_13_751	17	14	3	0	scaffold_6	456059	506059
Aspergillus_fumigatus_AZTEC_13_751	12	9	3	0	scaffold_1	1232942	1282942
Aspergillus_fumigatus_AZTEC_13_751	18	18	0	0	scaffold_1	2532473	2582473
Aspergillus_fumigatus_AZTEC_13_751	15	14	1	0	scaffold_3	3689777	3739777
Aspergillus_fumigatus_AZTEC_13_751	23	21	2	0	scaffold_5	2551600	2601600
Aspergillus_fumigatus_AZTEC_13_751	16	15	1	0	scaffold_6	1910213	1960213
Aspergillus_fumigatus_AZTEC_13_751	19	17	2	0	scaffold_4	281016	331016
Aspergillus_fumigatus_AZTEC_13_751	26	16	10	0	scaffold_6	22141	72141
Aspergillus_fumigatus_AZTEC_13_751	21	19	2	0	scaffold_5	3135449	3185449
Aspergillus_fumigatus_AZTEC_13_751	20	17	3	0	scaffold_3	1849825	1899825
Aspergillus_fumigatus_AZTEC_13_751	14	12	1	1	scaffold_4	1681639	1731639
Aspergillus_fumigatus_AZTEC_13_751	6	5	1	0	scaffold_7	758164	808164
Aspergillus_fumigatus_AZTEC_13_751	19	19	0	0	scaffold_5	2514078	2564078
Aspergillus_fumigatus_AZTEC_13_751	20	19	1	0	scaffold_1	1747213	1797213
Aspergillus_fumigatus_AZTEC_13_751	15	14	1	0	scaffold_4	1353351	1403351
Aspergillus_fumigatus_AZTEC_13_751	21	18	3	0	scaffold_3	2078202	2128202
Aspergillus_fumigatus_AZTEC_13_751	21	18	3	0	scaffold_6	1869804	1919804
