STRAIN	TOTAL	CORE	ACCESSORY	SINGLETON	CHROM	START	END
Aspergillus_fumigatus_COH_371	19	19	0	0	scaffold_5	2021683	2071683
Aspergillus_fumigatus_COH_371	25	21	4	0	scaffold_5	3594092	3644092
Aspergillus_fumigatus_COH_371	23	22	1	0	scaffold_5	3342361	3392361
Aspergillus_fumigatus_COH_371	23	23	0	0	scaffold_3	4207572	4257572
Aspergillus_fumigatus_COH_371	16	16	0	0	scaffold_5	393834	443834
Aspergillus_fumigatus_COH_371	13	13	0	0	scaffold_7	781701	831701
Aspergillus_fumigatus_COH_371	18	16	2	0	scaffold_5	2124391	2174391
Aspergillus_fumigatus_COH_371	18	17	1	0	scaffold_3	3529976	3579976
Aspergillus_fumigatus_COH_371	19	19	0	0	scaffold_6	3148268	3198268
Aspergillus_fumigatus_COH_371	18	17	1	0	scaffold_5	584907	634907
Aspergillus_fumigatus_COH_371	21	17	4	0	scaffold_3	115582	165582
Aspergillus_fumigatus_COH_371	2	0	2	0	scaffold_5	3713776	3763776
Aspergillus_fumigatus_COH_371	18	18	0	0	scaffold_5	1228448	1278448
Aspergillus_fumigatus_COH_371	19	19	0	0	scaffold_6	3139068	3189068
Aspergillus_fumigatus_COH_371	18	15	3	0	scaffold_3	3108936	3158936
Aspergillus_fumigatus_COH_371	25	20	5	0	scaffold_6	3449339	3499339
Aspergillus_fumigatus_COH_371	18	14	4	0	scaffold_2	4211989	4261989
Aspergillus_fumigatus_COH_371	4	4	0	0	scaffold_1	1595947	1645947
Aspergillus_fumigatus_COH_371	13	13	0	0	scaffold_1	505831	555831
Aspergillus_fumigatus_COH_371	16	16	0	0	scaffold_2	4309063	4359063
Aspergillus_fumigatus_COH_371	19	15	4	0	scaffold_4	752734	802734
Aspergillus_fumigatus_COH_371	20	15	5	0	scaffold_1	196140	246140
Aspergillus_fumigatus_COH_371	22	21	1	0	scaffold_1	1892834	1942834
Aspergillus_fumigatus_COH_371	15	13	2	0	scaffold_7	1349757	1399757
Aspergillus_fumigatus_COH_371	22	21	1	0	scaffold_6	1720563	1770563
Aspergillus_fumigatus_COH_371	22	20	2	0	scaffold_3	369591	419591
Aspergillus_fumigatus_COH_371	18	16	2	0	scaffold_7	1617611	1667611
Aspergillus_fumigatus_COH_371	10	10	0	0	scaffold_4	1169509	1219509
Aspergillus_fumigatus_COH_371	22	14	8	0	scaffold_3	2746673	2796673
Aspergillus_fumigatus_COH_371	25	18	7	0	scaffold_5	3517200	3567200
Aspergillus_fumigatus_COH_371	22	22	0	0	scaffold_4	1970490	2020490
Aspergillus_fumigatus_COH_371	25	22	3	0	scaffold_3	4014326	4064326
Aspergillus_fumigatus_COH_371	20	19	1	0	scaffold_1	2914906	2964906
Aspergillus_fumigatus_COH_371	17	16	1	0	scaffold_4	1370723	1420723
Aspergillus_fumigatus_COH_371	23	23	0	0	scaffold_5	772806	822806
Aspergillus_fumigatus_COH_371	18	16	2	0	scaffold_7	1066661	1116661
Aspergillus_fumigatus_COH_371	15	14	1	0	scaffold_2	2545706	2595706
Aspergillus_fumigatus_COH_371	19	19	0	0	scaffold_5	1574957	1624957
Aspergillus_fumigatus_COH_371	9	4	5	0	scaffold_4	1024999	1074999
Aspergillus_fumigatus_COH_371	17	17	0	0	scaffold_5	2068709	2118709
Aspergillus_fumigatus_COH_371	16	15	1	0	scaffold_2	2799362	2849362
Aspergillus_fumigatus_COH_371	8	6	2	0	scaffold_3	2719174	2769174
Aspergillus_fumigatus_COH_371	21	21	0	0	scaffold_4	566839	616839
Aspergillus_fumigatus_COH_371	10	4	6	0	scaffold_4	1019066	1069066
Aspergillus_fumigatus_COH_371	19	13	6	0	scaffold_2	587469	637469
Aspergillus_fumigatus_COH_371	15	15	0	0	scaffold_2	3355023	3405023
Aspergillus_fumigatus_COH_371	4	3	1	0	scaffold_5	919285	969285
Aspergillus_fumigatus_COH_371	15	15	0	0	scaffold_2	4169529	4219529
Aspergillus_fumigatus_COH_371	26	25	1	0	scaffold_6	575350	625350
Aspergillus_fumigatus_COH_371	17	0	17	0	scaffold_8	1524216	1574216
Aspergillus_fumigatus_COH_371	8	6	2	0	scaffold_8	402935	452935
Aspergillus_fumigatus_COH_371	21	19	2	0	scaffold_1	2704493	2754493
Aspergillus_fumigatus_COH_371	16	14	2	0	scaffold_8	788816	838816
Aspergillus_fumigatus_COH_371	22	21	1	0	scaffold_5	718346	768346
Aspergillus_fumigatus_COH_371	26	20	6	0	scaffold_4	3376331	3426331
Aspergillus_fumigatus_COH_371	18	15	3	0	scaffold_2	3174502	3224502
Aspergillus_fumigatus_COH_371	19	16	3	0	scaffold_2	624666	674666
Aspergillus_fumigatus_COH_371	15	14	1	0	scaffold_8	283699	333699
Aspergillus_fumigatus_COH_371	28	20	8	0	scaffold_8	237395	287395
Aspergillus_fumigatus_COH_371	24	22	2	0	scaffold_4	421512	471512
