STRAIN	TOTAL	CORE	ACCESSORY	SINGLETON	CHROM	START	END
Aspergillus_fumigatus_B5868	18	15	3	0	scaffold_3	2362759	2412759
Aspergillus_fumigatus_B5868	23	19	4	0	scaffold_2	4400582	4450582
Aspergillus_fumigatus_B5868	20	13	7	0	scaffold_5	2292661	2342661
Aspergillus_fumigatus_B5868	13	2	11	0	scaffold_5	2195619	2245619
Aspergillus_fumigatus_B5868	18	16	2	0	scaffold_6	3237252	3287252
Aspergillus_fumigatus_B5868	18	16	2	0	scaffold_6	329763	379763
Aspergillus_fumigatus_B5868	21	20	1	0	scaffold_1	2453677	2503677
Aspergillus_fumigatus_B5868	16	16	0	0	scaffold_2	3811682	3861682
Aspergillus_fumigatus_B5868	17	16	1	0	scaffold_2	820441	870441
Aspergillus_fumigatus_B5868	22	21	1	0	scaffold_3	399727	449727
Aspergillus_fumigatus_B5868	19	18	1	0	scaffold_4	2798333	2848333
Aspergillus_fumigatus_B5868	19	12	7	0	scaffold_1	4489797	4539797
Aspergillus_fumigatus_B5868	10	9	1	0	scaffold_3	3983388	4033388
Aspergillus_fumigatus_B5868	18	17	1	0	scaffold_5	2674991	2724991
Aspergillus_fumigatus_B5868	21	20	1	0	scaffold_6	259679	309679
Aspergillus_fumigatus_B5868	0	0	0	0	scaffold_8	716069	766069
Aspergillus_fumigatus_B5868	21	20	1	0	scaffold_5	541463	591463
Aspergillus_fumigatus_B5868	23	19	4	0	scaffold_3	496893	546893
Aspergillus_fumigatus_B5868	26	24	2	0	scaffold_3	3821162	3871162
Aspergillus_fumigatus_B5868	21	18	3	0	scaffold_3	884347	934347
Aspergillus_fumigatus_B5868	21	21	0	0	scaffold_6	1490147	1540147
Aspergillus_fumigatus_B5868	20	18	2	0	scaffold_8	539747	589747
Aspergillus_fumigatus_B5868	20	20	0	0	scaffold_7	1198238	1248238
Aspergillus_fumigatus_B5868	20	18	2	0	scaffold_5	527004	577004
Aspergillus_fumigatus_B5868	17	17	0	0	scaffold_4	1443165	1493165
Aspergillus_fumigatus_B5868	20	19	1	0	scaffold_2	2967132	3017132
Aspergillus_fumigatus_B5868	0	0	0	0	scaffold_2	4154224	4204224
Aspergillus_fumigatus_B5868	21	20	1	0	scaffold_8	980344	1030344
Aspergillus_fumigatus_B5868	21	14	7	0	scaffold_5	2930690	2980690
Aspergillus_fumigatus_B5868	21	19	2	0	scaffold_5	515865	565865
Aspergillus_fumigatus_B5868	17	15	2	0	scaffold_5	1962571	2012571
Aspergillus_fumigatus_B5868	20	17	3	0	scaffold_5	3323858	3373858
Aspergillus_fumigatus_B5868	19	18	1	0	scaffold_4	1216284	1266284
Aspergillus_fumigatus_B5868	18	17	1	0	scaffold_1	519193	569193
Aspergillus_fumigatus_B5868	18	17	1	0	scaffold_4	2849872	2899872
Aspergillus_fumigatus_B5868	13	13	0	0	scaffold_6	2738614	2788614
Aspergillus_fumigatus_B5868	20	17	3	0	scaffold_3	1810873	1860873
Aspergillus_fumigatus_B5868	21	20	1	0	scaffold_1	988582	1038582
Aspergillus_fumigatus_B5868	25	21	4	0	scaffold_1	3914636	3964636
Aspergillus_fumigatus_B5868	23	22	1	0	scaffold_2	2143057	2193057
Aspergillus_fumigatus_B5868	14	14	0	0	scaffold_1	2519101	2569101
Aspergillus_fumigatus_B5868	20	20	0	0	scaffold_3	928760	978760
Aspergillus_fumigatus_B5868	22	20	2	0	scaffold_2	1300395	1350395
Aspergillus_fumigatus_B5868	19	16	3	0	scaffold_2	1809731	1859731
Aspergillus_fumigatus_B5868	23	20	3	0	scaffold_2	2297970	2347970
Aspergillus_fumigatus_B5868	19	17	2	0	scaffold_2	1214961	1264961
Aspergillus_fumigatus_B5868	20	19	1	0	scaffold_1	2333963	2383963
Aspergillus_fumigatus_B5868	20	20	0	0	scaffold_2	1681361	1731361
Aspergillus_fumigatus_B5868	18	16	2	0	scaffold_8	1110953	1160953
Aspergillus_fumigatus_B5868	24	24	0	0	scaffold_3	913654	963654
Aspergillus_fumigatus_B5868	21	16	5	0	scaffold_5	690743	740743
Aspergillus_fumigatus_B5868	22	18	4	0	scaffold_1	42770	92770
Aspergillus_fumigatus_B5868	25	24	1	0	scaffold_2	4244101	4294101
Aspergillus_fumigatus_B5868	18	18	0	0	scaffold_1	2208159	2258159
Aspergillus_fumigatus_B5868	24	24	0	0	scaffold_3	549837	599837
Aspergillus_fumigatus_B5868	25	19	6	0	scaffold_4	225341	275341
Aspergillus_fumigatus_B5868	17	14	3	0	scaffold_8	105997	155997
Aspergillus_fumigatus_B5868	10	8	2	0	scaffold_5	1230962	1280962
Aspergillus_fumigatus_B5868	16	15	1	0	scaffold_1	925196	975196
Aspergillus_fumigatus_B5868	20	19	1	0	scaffold_7	1105958	1155958
Aspergillus_fumigatus_B5868	21	20	1	0	scaffold_6	1592356	1642356
Aspergillus_fumigatus_B5868	16	16	0	0	scaffold_4	1448323	1498323
Aspergillus_fumigatus_B5868	6	5	1	0	scaffold_2	2006391	2056391
Aspergillus_fumigatus_B5868	13	11	2	0	scaffold_1	2750520	2800520
Aspergillus_fumigatus_B5868	19	16	3	0	scaffold_3	339297	389297
Aspergillus_fumigatus_B5868	20	19	1	0	scaffold_4	494241	544241
Aspergillus_fumigatus_B5868	22	15	7	0	scaffold_5	13194	63194
Aspergillus_fumigatus_B5868	18	18	0	0	scaffold_1	617425	667425
Aspergillus_fumigatus_B5868	16	14	2	0	scaffold_5	2881664	2931664
Aspergillus_fumigatus_B5868	19	17	2	0	scaffold_3	820296	870296
Aspergillus_fumigatus_B5868	21	18	3	0	scaffold_7	121556	171556
Aspergillus_fumigatus_B5868	18	18	0	0	scaffold_1	2188136	2238136
Aspergillus_fumigatus_B5868	23	18	5	0	scaffold_1	3886038	3936038
Aspergillus_fumigatus_B5868	22	22	0	0	scaffold_2	410915	460915
Aspergillus_fumigatus_B5868	22	20	2	0	scaffold_2	2838649	2888649
Aspergillus_fumigatus_B5868	20	19	1	0	scaffold_6	3063606	3113606
Aspergillus_fumigatus_B5868	16	14	2	0	scaffold_5	1639563	1689563
Aspergillus_fumigatus_B5868	15	14	1	0	scaffold_5	993027	1043027
Aspergillus_fumigatus_B5868	16	13	3	0	scaffold_1	1995517	2045517
Aspergillus_fumigatus_B5868	19	19	0	0	scaffold_4	3093826	3143826
Aspergillus_fumigatus_B5868	26	20	6	0	scaffold_8	244264	294264
Aspergillus_fumigatus_B5868	14	14	0	0	scaffold_2	3935448	3985448
Aspergillus_fumigatus_B5868	23	21	2	0	scaffold_3	1559531	1609531
Aspergillus_fumigatus_B5868	22	20	2	0	scaffold_1	3239794	3289794
Aspergillus_fumigatus_B5868	22	21	1	0	scaffold_1	4718847	4768847
Aspergillus_fumigatus_B5868	26	21	5	0	scaffold_4	1612721	1662721
Aspergillus_fumigatus_B5868	23	22	1	0	scaffold_1	4682403	4732403
Aspergillus_fumigatus_B5868	18	16	2	0	scaffold_8	1232995	1282995
Aspergillus_fumigatus_B5868	20	19	1	0	scaffold_8	1440715	1490715
Aspergillus_fumigatus_B5868	20	1	19	0	scaffold_3	628606	678606
Aspergillus_fumigatus_B5868	17	15	2	0	scaffold_7	288497	338497
Aspergillus_fumigatus_B5868	23	19	4	0	scaffold_5	685285	735285
Aspergillus_fumigatus_B5868	17	17	0	0	scaffold_4	3117609	3167609
Aspergillus_fumigatus_B5868	16	13	3	0	scaffold_4	2188497	2238497
Aspergillus_fumigatus_B5868	24	21	3	0	scaffold_6	272302	322302
Aspergillus_fumigatus_B5868	23	22	1	0	scaffold_2	3518577	3568577
Aspergillus_fumigatus_B5868	18	14	4	0	scaffold_3	21846	71846
Aspergillus_fumigatus_B5868	22	21	1	0	scaffold_4	285951	335951
Aspergillus_fumigatus_B5868	22	19	3	0	scaffold_2	1529037	1579037
Aspergillus_fumigatus_B5868	17	15	2	0	scaffold_3	1788753	1838753
Aspergillus_fumigatus_B5868	23	23	0	0	scaffold_6	2249855	2299855
Aspergillus_fumigatus_B5868	19	19	0	0	scaffold_4	2906810	2956810
Aspergillus_fumigatus_B5868	22	20	2	0	scaffold_8	1205555	1255555
Aspergillus_fumigatus_B5868	16	15	1	0	scaffold_5	1807998	1857998
Aspergillus_fumigatus_B5868	18	17	1	0	scaffold_2	3681301	3731301
Aspergillus_fumigatus_B5868	21	19	2	0	scaffold_3	3200075	3250075
Aspergillus_fumigatus_B5868	16	15	1	0	scaffold_5	3435904	3485904
Aspergillus_fumigatus_B5868	19	18	1	0	scaffold_5	2664119	2714119
Aspergillus_fumigatus_B5868	17	16	1	0	scaffold_4	771044	821044
Aspergillus_fumigatus_B5868	13	12	1	0	scaffold_1	1257354	1307354
Aspergillus_fumigatus_B5868	23	21	2	0	scaffold_1	4631689	4681689
Aspergillus_fumigatus_B5868	17	16	1	0	scaffold_2	4034069	4084069
Aspergillus_fumigatus_B5868	15	15	0	0	scaffold_4	2598971	2648971
Aspergillus_fumigatus_B5868	16	16	0	0	scaffold_4	602843	652843
Aspergillus_fumigatus_B5868	24	21	3	0	scaffold_4	3688751	3738751
Aspergillus_fumigatus_B5868	19	19	0	0	scaffold_1	2183411	2233411
Aspergillus_fumigatus_B5868	18	18	0	0	scaffold_7	954805	1004805
Aspergillus_fumigatus_B5868	17	17	0	0	scaffold_4	3017559	3067559
Aspergillus_fumigatus_B5868	10	10	0	0	scaffold_3	3982224	4032224
Aspergillus_fumigatus_B5868	20	19	1	0	scaffold_1	3924317	3974317
Aspergillus_fumigatus_B5868	20	16	4	0	scaffold_3	1022620	1072620
Aspergillus_fumigatus_B5868	20	19	1	0	scaffold_1	543752	593752
